vid,class,number
3,U,9
45,I,1
47,U,21
59,D,0
61,W,6
71,D,0
75,D,0
80,D,0
86,D,0
91,D,0
95,D,0
99,I,1
102,W,0
119,D,0
121,D,0
123,D,0
125,I,1
127,D,0
136,I,0
140,I,1
142,D,0
144,I,1
147,D,0
149,D,0
156,I,0
160,I,1
162,W,2
169,I,1
171,W,0
179,U,6
189,I,1
191,D,0
196,I,1
198,D,0
202,I,1
204,D,0
209,I,0
215,I,1
217,D,0
222,I,0
229,I,1
231,D,0
233,D,0
235,I,1
239,W,0
248,I,1
250,D,0
252,D,0
254,I,1
257,D,0
261,I,1
264,W,3
270,D,0
274,D,0
278,W,0
291,U,4
301,D,0
308,I,1
310,D,0
314,I,1
316,D,0
320,D,0
327,U,0
353,W,1
364,I,1
366,D,0
376,I,1
379,W,0
389,I,0
393,D,0
395,I,1
397,D,0
399,I,1
402,D,0
404,D,0
412,I,0
416,I,0
420,I,1
422,U,7
439,D,0
441,I,1
443,W,0
450,I,1
452,D,0
458,D,0
460,D,0
467,D,0
469,D,0
471,I,1
474,W,0
488,I,1
490,W,4
495,D,0
500,D,0
506,D,0
510,D,0
515,I,1
518,W,0
528,I,1
531,W,0
546,I,1
548,W,7
553,D,0
555,I,1
557,D,0
561,D,0
563,I,1
566,D,0
572,D,0
576,D,0
578,I,1
581,W,0
593,D,0
597,D,0
602,D,0
605,I,1
608,W,0
618,I,0
622,W,4
629,D,0
631,I,1
634,W,0
650,D,0
655,I,1
657,D,0
663,D,0
665,I,1
667,D,0
676,U,6
689,I,1
691,D,0
695,I,1
697,W,0
706,I,1
708,D,0
712,I,1
714,D,0
718,I,1
720,W,0
729,I,1
731,D,0
740,I,1
743,W,0
763,I,1
765,U,9
769,D,0
771,I,1
774,D,0
780,I,1
782,D,0
786,D,0
788,I,1
790,D,0
794,D,0
796,I,1
799,D,0
804,D,0
809,D,0
811,I,1
813,W,0
822,D,0
824,I,1
827,W,0
837,D,0
839,I,2
842,D,0
846,W,0
859,D,0
866,U,8
879,I,0
883,I,0
887,I,1
890,D,0
