vid,class,number
3,U,55
45,I,1
47,U,48
59,D,1
61,W,19
71,D,1
75,D,1
80,D,1
86,D,1
91,D,1
95,D,1
99,I,4
102,W,11
119,D,1
121,D,1
123,D,1
125,I,1
127,D,1
136,I,1
140,I,1
142,D,1
144,I,4
147,D,1
149,D,1
156,I,1
160,I,1
162,W,7
169,I,1
171,W,7
179,U,23
189,I,1
191,D,1
196,I,1
198,D,1
202,I,1
204,D,1
209,I,1
215,I,1
217,D,1
222,I,1
229,I,1
231,D,1
233,D,1
235,I,3
239,W,6
248,I,1
250,D,1
252,D,1
254,I,2
257,D,1
261,I,1
264,W,8
270,D,1
274,D,1
278,W,12
291,U,19
301,D,1
308,I,1
310,D,1
314,I,1
316,D,1
320,D,1
327,U,23
353,W,17
364,I,1
366,D,1
376,I,2
379,W,6
389,I,1
393,D,1
395,I,1
397,D,1
399,I,4
402,D,1
404,D,1
412,I,1
416,I,1
420,I,1
422,U,32
439,D,1
441,I,1
443,W,6
450,I,1
452,D,1
458,D,1
460,D,1
467,D,1
469,D,1
471,I,2
474,W,8
488,I,1
490,W,12
495,D,1
500,D,1
506,D,1
510,D,1
515,I,4
518,W,9
528,I,2
531,W,8
546,I,1
548,W,12
553,D,1
555,I,1
557,D,1
561,D,1
563,I,2
566,D,1
572,D,1
576,D,1
578,I,2
581,W,8
593,D,1
597,D,1
602,D,1
605,I,1
608,W,6
618,I,1
622,W,18
629,D,1
631,I,2
634,W,12
650,D,1
655,I,1
657,D,1
663,D,1
665,I,1
667,D,1
676,U,24
689,I,1
691,D,1
695,I,1
697,W,6
706,I,1
708,D,1
712,I,1
714,D,1
718,I,1
720,W,5
729,I,1
731,D,1
740,I,2
743,W,15
763,I,1
765,U,18
769,D,1
771,I,2
774,D,1
780,I,1
782,D,1
786,D,1
788,I,1
790,D,1
794,D,1
796,I,2
799,D,1
804,D,1
809,D,1
811,I,1
813,W,6
822,D,1
824,I,2
827,W,5
837,D,1
839,I,3
842,D,1
846,W,9
859,D,1
866,U,33
879,I,1
883,I,1
887,I,2
890,D,1
895,I,1
897,D,1
901,I,1
903,D,1
907,I,1
909,D,1
913,I,1
915,D,1
919,I,1
936,I,2
939,U,19
963,I,1
968,I,1
972,I,1
978,I,1
985,W,5
990,D,1
992,D,1
996,I,1
998,D,1
1000,D,1
1002,I,1
1004,D,1
1008,D,1
1010,I,1
1012,W,13
1019,D,1
1023,D,1
1025,I,2
1028,D,1
1035,D,1
1037,I,1
1039,D,1
1044,D,1
1046,I,1
1048,D,1
1052,I,3
1055,D,1
1057,I,1
1059,D,1
1063,W,9
1069,D,1
1074,I,1
1076,D,1
1081,I,2
1084,W,6
1098,D,1
1100,D,1
1102,I,1
1104,D,1
1108,D,1
1110,D,1
1112,I,2
1115,D,1
1120,D,1
1124,D,1
1126,D,1
1130,I,6
1137,W,12
1145,D,1
1149,D,1
1151,I,2
1154,D,1
1160,I,1
1165,W,13
1179,I,1
1182,W,14
1186,D,1
1188,I,1
1190,D,1
1195,D,1
1197,I,1
1199,D,1
1203,D,1
1205,I,2
1208,D,1
1213,D,1
1215,I,1
1217,D,1
1221,D,1
1223,I,1
1225,D,1
1229,D,1
1231,I,1
1235,D,1
1237,I,1
1239,D,1
1243,D,1
1245,I,1
1247,D,1
1251,I,1
1253,D,1
1257,I,1
1259,D,1
1263,I,4
1266,W,12
1275,I,1
1280,I,1
1282,D,1
1287,I,1
1289,W,5
1299,W,15
1305,D,1
1309,D,1
1311,D,1
1313,I,2
1316,D,1
1321,D,1
1323,I,1
1327,D,1
1329,I,4
1332,D,1
1334,W,11
1351,I,1
1355,I,1
1357,W,8
1364,D,1
1366,D,1
1370,D,1
1374,D,1
1377,I,4
1380,D,1
1387,I,1
1389,W,9
1399,W,9
1409,U,21
1420,I,2
1423,D,1
1429,I,2
1432,W,6
1442,I,2
1445,D,1
1450,I,1
1452,W,5
1460,I,1
1462,W,5
1471,I,1
1473,D,1
1477,I,1
1479,W,6
1490,I,2
1493,W,14
1511,I,1
1515,I,1
1520,I,1
1524,D,1
1526,W,18
1540,I,1
1542,D,1
1546,I,1
1548,D,1
1555,I,2
1558,W,6
1567,W,8
1576,I,2
1579,U,22
1585,D,1
1589,D,1
1591,I,1
1593,D,1
1597,D,1
1599,I,1
1601,D,1
1605,D,1
1607,I,1
1609,D,1
1614,D,1
1616,I,1
1618,D,1
1622,D,1
1624,I,2
1627,D,1
1632,D,1
1636,D,1
1638,I,1
1640,D,1
1644,I,1
1646,D,1
1648,I,1
1650,D,1
1655,D,1
1664,W,10
1675,D,1
1678,I,1
1680,W,21
1693,I,1
1695,D,1
1699,I,1
1701,D,1
1706,I,1
1708,D,1
1712,I,2
1715,W,6
1726,I,1
1728,D,1
1732,I,1
1734,D,1
1739,I,2
1741,W,8
1752,W,9
1762,U,19
1772,I,1
1774,D,1
1779,I,1
1781,D,1
1785,I,1
1787,D,1
1791,I,1
1793,D,1
1797,I,1
1799,D,1
1803,I,1
1807,I,2
1812,D,1
1817,U,24
1844,I,1
1846,D,1
1848,D,1
1850,I,1
1852,D,1
1857,U,53
1867,D,1
1869,W,13
1877,D,1
1884,D,1
1886,D,1
1890,D,1
1892,I,1
1894,D,1
1898,D,1
1901,I,1
1903,W,5
1909,I,2
1912,D,1
1918,D,1
1920,W,7
1927,D,1
1929,I,1
1931,D,1
1935,D,1
1937,I,1
1939,D,1
1942,I,1
1946,I,1
1951,U,1
1953,D,1
1955,U,24
1965,D,1
1971,D,1
1976,D,1
1982,I,1
1984,D,1
1989,I,1
1991,D,1
1995,D,1
2000,I,1
2002,D,1
2007,I,3
2010,W,12
2025,W,11
2040,I,1
2042,D,1
2044,D,1
2046,D,1
2048,I,1
2050,D,1
2054,I,1
2058,U,1
2061,U,18
2073,D,1
2077,D,1
2081,D,1
2083,I,2
2086,D,1
2091,D,1
2093,I,1
2095,D,1
2099,D,1
2101,I,1
2103,D,1
2107,W,6
2114,I,2
2117,W,8
2129,D,1
2131,I,1
2133,D,1
2137,I,4
2140,W,16
2147,D,1
2151,D,1
2155,I,1
2157,D,1
2161,D,1
2165,D,1
2170,I,1
2177,U,28
2212,I,1
2214,D,1
2216,I,1
2218,D,1
2220,D,1
2222,I,2
2225,W,6
2236,U,23
2244,I,1
2249,D,1
2251,D,1
2257,I,1
2259,W,7
2265,D,1
2270,D,1
2272,I,2
2275,D,1
2281,D,1
2283,D,1
2285,I,1
2287,D,1
2291,D,1
2296,I,1
2298,W,8
2307,I,4
2310,W,6
2317,I,2
2320,D,1
2330,I,1
2332,D,1
2334,D,1
2336,I,1
2338,D,1
2344,I,1
2346,U,22
2351,D,1
2353,I,2
2356,D,1
2362,D,1
2364,I,1
2366,D,1
2370,D,1
2375,W,6
2382,I,2
2385,W,8
2397,D,1
2399,I,1
2401,D,1
2405,D,1
2409,D,1
2411,I,2
2414,D,1
2419,D,1
2423,D,1
2425,I,2
2428,D,1
2433,D,1
2435,I,1
2437,D,1
2442,D,1
2444,I,1
2446,D,1
2452,D,1
2454,I,2
2457,D,1
2463,I,2
2466,W,9
2472,D,1
2479,I,2
2482,D,1
2488,I,2
2491,D,1
2493,I,1
2495,D,1
2497,W,11
2505,D,1
2512,D,1
2514,I,2
2517,D,1
2521,D,1
2523,U,35
2533,D,1
2535,D,1
2540,D,1
2542,D,1
2546,D,1
2548,I,1
2550,D,1
2555,D,1
2557,U,20
2580,D,1
2584,D,1
2588,U,20
2595,D,1
2601,D,1
2608,D,1
2612,D,1
2621,W,16
2638,I,2
2641,U,22
2668,D,1
2670,I,2
2673,W,11
2688,I,1
2690,W,5
2696,I,2
2699,W,6
2710,W,13
2724,I,2
2727,W,10
2741,D,1
2748,D,1
2756,D,1
2758,I,1
2762,I,1
2765,W,12
2780,D,1
2784,I,2
2787,D,1
2791,W,12
2805,W,12
2814,W,8
2825,I,1
2829,I,2
2832,W,8
2845,I,2
2848,D,1
2853,I,1
2855,D,1
2857,I,1
2859,W,1
2861,D,1
2863,I,1
2865,D,1
2870,I,1
2872,D,1
2874,I,1
2876,D,1
2878,D,1
2882,I,1
2884,D,1
2886,D,1
2888,D,1
2890,I,1
2892,D,1
2896,I,1
2900,I,1
2902,D,1
2904,D,1
2906,D,1
2910,I,1
2912,W,9
2917,D,1
2922,I,1
2924,D,1
2926,D,1
2928,I,2
2931,D,1
2936,D,1
2938,D,1
2943,I,1
2945,U,32
2953,D,1
2957,D,1
2961,D,1
2963,I,2
2966,D,1
2971,D,1
2973,I,2
2976,D,1
2981,D,1
2983,I,1
2985,D,1
2989,D,1
2991,I,2
2994,W,13
3011,D,1
3013,I,2
3016,D,1
3021,D,1
3023,I,2
3026,D,1
3031,D,1
3033,I,2
3036,W,8
3048,D,1
3052,D,1
3054,W,17
3072,D,1
3078,D,1
3080,D,1
3095,U,28
3105,I,1
3108,W,8
3122,I,1
3124,D,1
3128,I,1
3130,W,8
3145,I,1
3147,D,1
3159,I,1
3162,W,17
3182,I,1
3184,D,1
3186,D,1
3188,D,1
3190,I,1
3192,D,1
3197,I,1
3199,U,32
3207,D,1
3209,D,1
3211,I,1
3213,D,1
3218,D,1
3220,I,4
3223,D,1
3225,D,1
3233,D,1
3237,D,1
3241,D,1
3243,W,13
3257,I,2
3260,D,1
3263,W,5
3274,D,1
3276,D,1
3278,I,1
3280,D,1
3284,D,1
3286,D,1
3288,D,1
3293,D,1
3295,D,1
3297,I,2
3300,W,5
3310,D,1
3312,I,4
3315,D,1
3317,D,1
3324,D,1
3326,D,1
3331,W,17
3341,D,1
3343,I,1
3345,D,1
3353,D,1
3355,I,1
3357,D,1
3361,D,1
3366,U,20
3379,I,1
3384,I,1
3386,D,1
3390,D,1
3395,I,1
3397,D,1
3403,I,2
3406,W,8
3422,D,1
3424,D,1
3430,I,1
3432,U,20
3436,D,1
3440,D,1
3442,I,1
3444,D,1
3448,D,1
3452,D,1
3454,I,2
3457,W,5
3467,D,1
3469,I,1
3471,D,1
3475,D,1
3480,D,1
3482,I,2
3485,D,1
3491,D,1
3493,I,1
3495,D,1
3499,W,6
3506,I,2
3509,D,1
3514,D,1
3518,W,8
3527,I,2
3530,D,1
3536,D,1
3538,I,1
3540,D,1
3544,D,1
3548,I,2
3551,D,1
3553,I,2
3556,D,1
3561,W,10
3567,I,1
3572,I,1
3574,D,1
3578,I,1
3580,D,1
3584,I,1
3586,D,1
3590,I,1
3592,D,1
3595,I,2
3598,W,6
3608,I,1
3610,D,1
3612,D,1
3614,D,1
3621,U,25
3628,D,1
3630,D,1
3634,I,1
3636,D,1
3638,D,1
3640,I,1
3642,D,1
3646,I,1
3648,D,1
3650,D,1
3652,I,2
3655,W,4
3664,I,1
3668,I,1
3670,D,1
3672,D,1
3674,D,1
3678,I,1
3680,D,1
3682,D,1
3684,I,2
3687,D,1
3692,I,1
3694,D,1
3696,W,8
3705,I,1
3707,W,6
3716,I,1
3718,W,7
3725,D,1
3729,W,16
3736,D,1
3741,D,1
3745,D,1
3753,D,1
3758,W,9
3768,I,2
3771,U,18
3793,I,1
3797,I,1
3799,D,1
3801,W,6
3808,I,2
3811,D,1
3816,I,1
3820,I,1
3822,D,1
3824,D,1
3826,I,2
3829,D,1
3834,I,1
3838,I,1
3842,I,1
3844,D,1
3846,U,19
3855,I,1
3857,D,1
3865,I,1
3867,D,1
3871,I,1
3873,D,1
3877,I,1
3879,D,1
3883,I,1
3885,D,1
3891,I,2
3894,W,12
3911,D,1
3913,W,11
3923,I,1
3925,D,1
3930,I,2
3933,W,7
3945,I,1
3947,U,20
3952,D,1
3954,I,2
3957,D,1
3962,D,1
3966,W,6
3973,I,1
3975,W,5
3983,D,1
3987,D,1
3989,I,1
3991,D,1
3995,D,1
3997,I,1
3999,D,1
4004,D,1
4006,I,1
4008,D,1
4013,D,1
4017,D,1
4019,I,1
4021,D,1
4026,W,6
4033,I,2
4041,I,5
4044,W,9
4054,I,2
4057,W,5
4066,W,8
4075,I,2
4078,D,1
4087,I,1
4091,I,1
4095,I,1
4100,I,1
4102,W,16
4108,D,1
4110,D,1
4112,I,1
4114,D,1
4118,D,1
4122,D,1
4124,D,1
4126,I,1
4128,D,1
4132,I,1
4137,I,1
4139,D,1
4141,D,1
4143,I,2
4146,D,1
4151,I,1
4153,D,1
4155,D,1
4157,I,2
4160,D,1
4166,I,1
4168,D,1
4170,D,1
4172,I,1
4174,D,1
4180,W,9
4190,W,11
4199,D,1
4201,D,1
4206,D,1
4208,D,1
4212,I,1
4215,U,19
4221,D,1
4223,I,1
4227,D,1
4229,I,1
4233,D,1
4235,I,1
4237,D,1
4241,D,1
4245,D,1
4247,I,2
4250,D,1
4255,D,1
4257,I,1
4259,D,1
4264,D,1
4266,I,1
4268,D,1
4276,D,1
4281,I,2
4284,W,5
4290,I,2
4293,D,1
4298,W,10
4309,I,2
4312,W,6
4323,I,1
4325,W,8
4332,I,1
4337,D,1
4340,I,1
4343,W,8
4349,D,1
4355,W,9
4365,I,1
4367,D,1
4374,D,1
4376,W,14
4391,I,2
4394,D,1
4400,U,27
4404,D,1
4406,D,1
4410,D,1
4412,D,1
4414,I,1
4418,I,1
4420,W,8
4426,D,1
4433,D,1
4435,I,2
4438,D,1
4443,I,1
4445,D,1
4447,I,1
4449,D,1
4451,I,1
4453,D,1
4457,I,1
4461,I,1
4465,I,1
4467,W,6
4473,D,1
4475,I,1
4477,D,1
4482,D,1
4484,I,1
4486,D,1
4490,I,1
4494,I,1
4496,D,1
4498,D,1
4503,I,1
4505,W,8
4515,D,1
4517,I,2
4520,D,1
4525,I,1
4527,W,9
4534,D,1
4536,D,1
4542,W,15
4551,I,1
4553,D,1
4563,I,2
4566,W,6
4576,I,1
4580,I,1
4582,D,1
4584,D,1
4586,I,1
4588,D,1
4599,D,1
4601,I,1
4603,D,1
4608,W,11
4620,I,1
4622,D,1
4626,I,1
4628,W,19
4633,D,1
4635,I,1
4637,D,1
4641,D,1
4643,I,1
4645,D,1
4651,D,1
4653,I,2
4656,D,1
4671,I,2
4674,W,9
4684,I,1
4687,W,6
4696,W,10
4705,I,1
4709,I,1
4713,I,1
4715,D,1
4718,I,2
4721,W,6
4732,I,1
4734,U,17
4741,D,1
4746,I,1
4748,W,19
4754,D,1
4756,I,2
4759,W,4
4767,D,1
4771,D,1
4775,D,1
4779,D,1
4792,U,20
4801,I,1
4805,I,1
4813,I,1
4822,I,2
4825,D,1
4830,D,1
4832,W,14
4847,I,1
4849,W,7
4859,I,1
4863,I,1
4865,D,1
4867,D,1
4869,I,2
4872,D,1
4877,I,1
4881,I,1
4885,I,1
4891,W,18
4902,I,1
4904,W,9
4909,D,1
4911,I,2
4914,D,1
4919,D,1
4921,I,2
4924,D,1
4929,D,1
4933,D,1
4935,I,2
4938,W,4
4946,D,1
4948,I,1
4953,W,6
4960,I,2
4963,W,5
4973,D,1
4975,D,1
4979,D,1
4981,I,2
4984,D,1
4990,D,1
4992,I,1
4994,D,1
4999,D,1
5001,D,1
5005,I,1
5007,W,8
5016,I,1
5018,W,6
5027,I,1
5029,U,52
5038,D,1
5040,D,1
5045,D,1
5047,W,9
5057,I,2
5060,D,1
5066,D,1
5068,D,1
5070,D,1
5074,D,1
5076,W,6
5085,D,1
5087,I,1
5089,D,1
5093,D,1
5095,D,1
5097,I,2
5102,D,1
5104,D,1
5109,D,1
5111,D,1
5117,D,1
5119,D,1
5125,D,1
5127,D,1
5129,I,1
5131,D,1
5136,U,23
5142,D,1
5144,I,1
5149,D,1
5151,I,2
5154,D,1
5159,D,1
5161,I,2
5167,D,1
5169,I,1
5171,W,7
5188,D,1
5193,D,1
5195,I,1
5199,D,1
5201,I,1
5203,D,1
5208,U,25
5217,I,1
5219,W,4
5227,I,1
5229,W,8
5241,I,1
5243,D,1
5247,I,1
5252,I,1
5254,W,6
5267,I,1
5269,D,1
5277,I,1
5280,W,11
5305,D,1
5307,W,6
5314,I,1
5316,W,5
5326,D,1
5328,I,1
5333,U,18
5341,D,1
5346,I,1
5348,W,6
5355,I,2
5358,W,6
5368,I,1
5370,D,1
5375,I,1
5377,W,9
5385,I,1
5389,I,1
5393,I,1
5396,I,2
5399,W,12
5416,W,5
5422,I,1
5424,D,1
5428,I,1
5433,I,1
5435,D,1
5437,I,2
5440,D,1
5446,W,9
5456,I,1
5458,W,11
5470,I,2
5473,W,4
5482,I,1
5486,I,1
5491,W,15
5502,D,1
5504,I,2
5510,I,1
5514,I,1
5519,I,5
5522,W,6
5529,I,2
5534,W,6
5541,D,1
5544,D,1
5551,U,22
5558,D,1
5560,D,1
5564,D,1
5568,D,1
5572,D,1
5578,W,5
5584,I,2
5587,W,7
5598,D,1
5602,I,4
5605,W,6
5612,I,2
5615,W,5
5627,D,1
5629,W,7
5639,D,1
5641,I,1
5645,W,9
5655,I,1
5658,W,7
5668,D,1
5673,I,1
5678,I,4
5681,W,12
5687,I,1
5691,D,1
5696,I,1
5698,W,4
5706,I,1
5708,D,1
5712,I,1
5716,I,1
5718,W,5
5730,D,1
5734,I,1
5736,U,19
5744,D,1
5746,I,1
5748,D,1
5754,D,1
5759,D,1
5761,I,2
5764,W,6
5776,D,1
5778,I,2
5781,W,4
5790,D,1
5794,D,1
5796,I,2
5799,D,1
5804,W,19
5815,I,1
5821,I,1
5829,I,1
5831,D,1
5835,I,2
5837,W,6
5847,U,39
5857,D,1
5859,I,1
5861,U,28
5876,D,1
5889,D,1
5894,D,1
5896,I,1
5898,W,4
5906,U,19
5913,I,1
5917,I,1
5919,D,1
5923,I,1
5925,D,1
5929,I,1
5931,D,1
5935,I,2
5938,D,1
5945,I,1
5947,D,1
5956,I,2
5959,W,9
5972,D,1
5974,I,1
5976,D,1
5978,D,1
5980,I,2
5983,D,1
5986,W,8
5997,I,1
6001,U,27
6012,D,1
6014,I,1
6019,D,1
6023,D,1
6025,I,1
6030,D,1
6034,D,1
6036,I,1
6038,D,1
6042,D,1
6044,I,1
6046,D,1
6050,D,1
6055,D,1
6059,D,1
6068,U,24
6086,D,1
6090,D,1
6092,I,2
6095,W,4
6104,W,14
6113,I,1
6118,I,1
6123,I,1
6128,I,2
6131,W,7
6142,D,1
6144,I,2
6147,W,5
6156,D,1
6158,W,11
6173,I,4
6176,W,12
6184,I,2
6189,I,1
6191,D,1
6196,I,2
6199,D,1
6205,I,2
6208,D,1
6216,U,32
6225,D,1
6227,I,1
6229,D,1
6242,D,1
6246,D,1
6253,D,1
6255,I,2
6258,W,6
6270,D,1
6272,I,1
6274,D,1
6283,I,4
6286,W,9
6290,D,1
6298,I,1
6300,D,1
6304,I,2
6307,W,8
6322,I,1
6326,D,1
6328,D,1
6330,I,2
6333,D,1
6338,U,33
6344,D,1
6351,D,1
6353,I,1
6355,D,1
6360,D,1
6364,D,1
6369,D,1
6374,D,1
6376,I,1
6380,D,1
6382,I,1
6384,D,1
6388,D,1
6390,I,1
6395,D,1
6400,D,1
6402,I,1
6404,D,1
6411,D,1
6413,I,1
6417,D,1
6422,D,1
6424,I,1
6426,D,1
6433,U,21
6443,I,1
6447,I,1
6449,D,1
6454,I,1
6456,D,1
6460,I,1
6462,D,1
6466,I,1
6470,I,1
6472,D,1
6476,I,1
6478,D,1
6486,I,2
6489,W,10
6505,I,1
6507,D,1
6509,I,2
6512,W,9
6518,D,1
6525,I,1
6527,W,11
6544,I,1
6550,I,1
6552,D,1
6554,D,1
6556,I,1
6561,I,1
6563,W,9
6573,U,21
6588,I,1
6590,D,1
6594,I,1
6596,D,1
6602,I,1
6606,D,1
6610,D,1
6614,D,1
6617,I,2
6620,W,5
6629,I,1
6633,I,1
6635,D,1
6637,W,17
6651,I,1
6653,D,1
6657,I,1
6661,I,1
6666,I,1
6668,U,16
6687,I,1
6689,D,1
6691,D,1
6693,I,1
6697,I,1
6699,D,1
6701,D,1
6703,I,1
6705,W,4
6712,I,1
6714,D,1
6716,D,1
6718,I,1
6720,D,1
6724,I,1
6728,I,1
6730,D,1
6732,W,16
6749,I,1
6751,W,15
6768,W,16
6789,D,1
6794,W,21
6804,D,1
6806,D,1
6808,I,1
6810,D,1
6814,U,22
6820,D,1
6822,I,1
6824,D,1
6830,D,1
6832,I,2
6835,W,5
6844,D,1
6846,I,1
6848,W,4
6855,D,1
6857,I,2
6860,W,7
6871,D,1
6875,D,1
6879,W,6
6886,I,2
6889,W,6
6899,D,1
6901,I,2
6904,W,5
6913,D,1
6915,I,2
6918,D,1
6923,W,6
6930,I,2
6933,W,8
6950,W,12
6963,I,1
6966,W,15
6973,I,1
6978,I,1
6980,D,1
6984,I,1
6986,D,1
6990,I,2
6997,I,1
6999,D,1
7004,I,2
7007,W,5
7017,I,1
7021,W,9
7031,I,5
7034,W,10
7045,I,3
7048,D,1
7052,W,11
7067,D,1
7069,I,2
7072,D,1
7082,I,1
7084,W,10
7089,D,1
7098,I,4
7101,W,13
7110,I,1
7115,I,1
7121,I,2
7133,I,1
7135,U,24
7140,D,1
7145,D,1
7153,I,1
7157,D,1
7161,D,1
7163,I,1
7167,D,1
7169,I,2
7172,D,1
7178,D,1
7180,I,2
7183,W,6
7193,D,1
7195,I,2
7198,W,5
7208,I,2
7211,W,6
7221,D,1
7223,I,2
7226,W,9
7240,D,1
7244,D,1
7246,I,1
7250,U,21
7264,I,1
7268,I,1
7272,I,1
7276,I,1
7281,I,1
7283,D,1
7287,I,1
7289,D,1
7294,I,2
7296,W,8
7308,U,46
7317,D,1
7319,I,1
7321,D,1
7323,D,1
7327,W,13
7332,D,1
7334,D,1
7338,D,1
7340,D,1
7342,I,1
7344,D,1
7355,W,13
7365,W,15
7372,D,1
7374,I,1
7376,D,1
7380,D,1
7382,D,1
7386,D,1
7388,I,1
7390,D,1
7395,D,1
7400,D,1
7406,D,1
7409,I,4
7412,W,8
7421,I,1
7423,W,6
7435,I,1
7439,I,1
7443,D,1
7445,D,1
7447,I,1
7449,D,1
7453,I,1
7456,U,27
7461,D,1
7466,D,1
7468,D,1
7474,D,1
7479,D,1
7481,I,1
7483,D,1
7488,D,1
7490,I,1
7492,D,1
7496,D,1
7498,I,1
7500,W,5
7508,D,1
7510,I,2
7513,D,1
7518,D,1
7520,I,2
7523,D,1
7528,D,1
7530,I,2
7533,W,8
7546,D,1
7548,I,1
7550,D,1
7556,I,1
7558,D,1
7560,I,2
7563,W,6
7577,U,20
7590,I,1
7592,D,1
7596,I,1
7600,I,1
7602,D,1
7607,I,1
7609,D,1
7613,I,1
7615,D,1
7620,I,1
7624,I,1
7628,D,1
7630,I,1
7632,D,1
7634,D,1
7640,D,1
7642,I,1
7644,U,28
7653,D,1
7655,I,2
7658,D,1
7663,D,1
7665,I,1
7667,D,1
7672,D,1
7674,I,2
7680,D,1
7682,I,1
7684,D,1
7689,D,1
7693,D,1
7695,I,1
7697,D,1
7712,I,5
7715,W,9
7722,I,1
7728,I,1
7730,D,1
7734,W,9
7741,I,1
7743,D,1
7747,I,1
7749,D,1
7753,I,2
7756,W,6
7771,D,1
7773,I,1
7775,D,1
7777,D,1
7784,U,23
7793,I,1
7795,D,1
7797,I,1
7799,D,1
7801,I,1
7803,D,2
7806,D,1
7809,D,1
7813,I,1
7817,I,1
7821,I,1
7823,D,1
7825,D,1
7830,I,1
7832,D,1
7834,W,15
7845,I,1
7853,I,2
7856,W,6
7868,I,1
7873,I,1
7879,W,14
7886,I,1
7892,I,1
7894,W,5
7904,D,1
7909,I,1
7912,W,13
7929,I,1
7932,U,19
7939,D,1
7941,I,1
7943,D,1
7948,D,1
7950,I,2
7953,W,5
7962,D,1
7964,D,1
7968,D,1
7972,D,1
7974,I,1
7976,W,5
7985,D,1
7987,I,1
7989,D,1
7993,D,1
7998,D,1
8004,W,16
8014,I,1
8024,I,2
8027,D,1
8032,W,11
8037,D,1
8039,I,1
8041,D,1
8046,I,1
8048,D,1
8050,D,1
8055,I,1
8059,I,1
8064,W,12
8072,D,1
8074,I,1
8076,D,1
8083,D,1
8085,D,1
8087,I,2
8090,D,1
8095,I,1
8098,U,26
8105,D,1
8109,D,1
8113,D,1
8115,I,1
8120,D,1
8122,I,1
8124,D,1
8128,D,1
8130,I,1
8135,D,1
8137,I,2
8140,D,1
8145,D,1
8147,I,1
8149,D,1
8153,D,1
8157,W,6
8164,I,2
8167,W,5
8177,D,1
8179,I,1
8181,D,1
8185,D,1
8187,I,1
8189,D,1
8193,D,1
8197,D,1
8199,I,1
8201,D,1
8206,D,1
8208,I,1
8210,D,1
8214,D,1
8216,I,2
8219,W,5
8229,I,4
8232,W,9
8242,I,1
8244,D,1
8252,U,27
8259,D,1
8261,D,1
8263,I,1
8268,I,1
8272,I,1
8274,D,1
8276,D,1
8278,I,1
8280,D,1
8284,I,1
8286,D,1
8288,D,1
8290,I,1
8292,W,5
8300,I,1
8302,D,1
8304,D,1
8306,I,1
8308,D,1
8312,I,1
8316,I,1
8318,W,8
8323,D,1
8328,D,1
8330,I,2
8333,D,1
8338,D,1
8340,I,1
8342,D,1
8346,W,18
8356,I,1
8358,D,1
8362,I,1
8364,D,1
8369,I,2
8372,D,1
8379,I,1
8381,D,1
8386,I,1
8390,I,2
8393,W,16
8413,I,1
8418,I,1
8422,I,1
8426,I,1
8430,I,1
8441,W,13
8451,W,10
8457,D,1
8459,D,1
8463,D,1
8465,I,2
8468,D,1
8474,D,1
