vid,class,number
3,U,16
30,I,1
32,D,0
34,D,0
36,I,1
38,D,0
40,I,1
42,D,0
44,I,2
47,D,0
50,D,0
56,D,0
58,I,1
60,D,0
62,I,1
64,U,5
72,I,0
77,I,0
82,I,1
84,D,0
86,I,1
89,D,0
95,I,0
99,I,1
102,D,0
104,I,1
106,D,0
111,W,1
119,D,0
121,I,1
123,D,0
129,I,1
131,D,0
133,I,1
135,D,0
142,I,1
144,D,0
146,I,1
148,D,0
150,I,1
152,W,0
161,I,1
163,W,2
169,I,0
173,I,0
178,I,2
181,D,0
184,D,0
189,I,1
191,D,0
193,I,1
195,D,0
197,I,1
199,D,0
201,I,1
203,D,0
205,I,2
208,D,0
211,D,0
216,I,1
218,D,0
220,I,1
222,U,22
237,I,0
242,I,1
244,D,0
246,I,2
249,D,0
253,D,0
257,I,1
259,D,0
261,I,1
263,D,0
265,D,0
269,I,1
271,D,0
273,I,1
275,I,1
277,D,0
282,I,1
284,D,0
286,I,1
289,D,0
294,I,1
296,D,0
298,I,1
300,D,0
304,I,1
306,W,0
313,I,1
315,D,0
317,I,1
320,D,0
325,I,1
327,D,0
329,I,1
331,D,0
333,I,1
335,D,0
339,I,1
341,D,0
343,I,1
345,D,0
349,I,2
352,D,0
354,I,1
356,D,0
358,I,1
360,D,0
363,D,0
365,U,9
375,I,1
377,D,0
381,I,1
383,D,0
388,I,1
390,D,0
394,I,1
396,D,0
400,I,1
402,D,0
406,I,1
408,D,0
412,I,1
414,D,0
418,I,2
421,D,0
425,D,0
429,I,1
431,D,0
435,I,1
438,W,0
447,I,1
449,D,0
451,I,1
453,D,0
455,I,1
457,D,0
461,I,1
463,D,0
465,I,1
467,D,0
469,I,1
471,D,0
476,I,1
478,D,0
480,I,1
482,D,0
484,I,1
486,D,0
491,I,1
493,D,0
495,I,1
497,D,0
499,I,1
502,D,0
509,I,1
511,D,0
513,I,1
515,D,0
517,I,1
519,D,0
524,I,1
526,D,0
528,I,1
530,D,0
532,D,0
536,I,1
538,D,0
540,I,1
542,D,0
544,I,1
546,D,0
550,I,1
553,D,0
555,W,2
565,I,1
567,D,0
571,I,1
573,D,0
577,I,2
580,D,0
584,D,0
589,I,1
591,D,0
593,I,1
595,D,0
597,I,1
600,D,0
605,I,1
607,D,0
609,I,1
611,D,0
613,I,1
615,D,0
619,I,1
621,D,0
623,I,1
625,D,0
629,W,0
636,I,0
638,I,1
640,U,8
645,D,0
647,I,1
649,D,0
655,D,0
657,I,1
659,D,0
664,I,1
666,D,1
669,D,0
671,I,1
673,D,0
