,ghi,inside_par_1,inside_par_2,inside_par_3,inside_par_4,inside_par_5,inside_par_6,inside_par_7,inside_par_8,light_on,screen_on
2013-02-04 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.25,0.175,,,0.0,100.0
2013-02-04 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,100.0
2013-02-04 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.075,,,0.0,100.0
2013-02-04 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.025,0.025,,,0.0,100.0
2013-02-04 04:00:00+01:00,0.0,0.0,0.0,0.0,0.025,0.0,0.25,,,0.0,100.0
2013-02-04 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,0.0,100.0
2013-02-04 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,100.0
2013-02-04 07:00:00+01:00,0.203389830508,105.525,82.05,99.35,92.7,108.3,68.8,,,1.0,69.4915254237
2013-02-04 08:00:00+01:00,25.2,148.5,112.875,140.95,128.1,149.7,96.15,,,1.0,0.0
2013-02-04 09:00:00+01:00,200.166666667,193.775,153.35,177.25,178.0,194.1,136.8,,,1.0,0.0
2013-02-04 10:00:00+01:00,407.566666667,118.625,106.825,118.175,99.525,146.275,84.575,,,0.25,0.0
2013-02-04 11:00:00+01:00,492.483333333,72.6,44.975,65.075,49.7,41.25,36.475,,,0.0,0.0
2013-02-04 12:00:00+01:00,550.783333333,62.075,36.35,94.325,60.225,55.925,72.325,,,0.0,0.0
2013-02-04 13:00:00+01:00,542.383333333,59.6,61.2,88.875,82.55,67.3,57.45,,,0.0,5.0
2013-02-04 14:00:00+01:00,515.866666667,46.675,69.15,96.175,61.5,68.175,65.925,,,0.0,0.0
2013-02-04 15:00:00+01:00,411.8,40.35,22.475,43.7,27.175,32.075,25.15,,,0.0,0.0
2013-02-04 16:00:00+01:00,293.116666667,19.1,4.8,41.825,15.975,17.6,76.15,,,0.616666666667,0.0
2013-02-04 17:00:00+01:00,78.6,0.1,0.0,8.225,0.95,1.7,2.4,,,1.0,0.0
2013-02-04 18:00:00+01:00,0.6,103.325,84.25,96.9,93.575,108.75,69.65,,,1.0,93.3333333333
2013-02-04 19:00:00+01:00,0.0,133.95,103.575,120.2,119.2,137.25,86.45,,,1.0,100.0
2013-02-04 20:00:00+01:00,0.0,137.65,107.3,128.7,118.375,141.975,87.275,,,1.0,100.0
2013-02-04 21:00:00+01:00,0.0,28.25,22.875,27.2,24.75,29.5,18.825,,,0.0,100.0
2013-02-04 22:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.075,,,0.0,100.0
2013-02-04 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,100.0
2013-02-05 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,100.0
2013-02-05 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.125,0.0,,,0.0,100.0
2013-02-05 02:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.025,,,0.0,100.0
2013-02-05 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.05,0.05,,,0.0,100.0
2013-02-05 04:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.025,,,0.0,100.0
2013-02-05 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,100.0
2013-02-05 06:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,0.0,100.0
2013-02-05 07:00:00+01:00,0.183333333333,105.275,76.2,91.65,90.35,105.375,66.125,,,1.0,73.3333333333
2013-02-05 08:00:00+01:00,23.35,138.9,105.6,128.175,121.625,143.2,91.15,,,1.0,0.0
