,ghi,inside_par_1,inside_par_2,inside_par_3,inside_par_4,inside_par_5,inside_par_6,inside_par_7,inside_par_8,light_on,screen_on
2013-05-21 00:00:00+02:00,0.0,16.925,2.725,1.75,2.25,2.45,2.275,18.025,6.725,0.0,100.0
2013-05-21 01:00:00+02:00,0.0,18.65,3.4,1.65,2.6,2.4,2.425,18.925,7.525,0.0,100.0
2013-05-21 02:00:00+02:00,0.0,19.5,3.9,2.1,2.575,2.6,2.6,21.175,8.7,0.0,100.0
2013-05-21 03:00:00+02:00,0.0,17.075,2.25,1.8,2.425,2.325,2.875,19.85,7.9,0.0,100.0
2013-05-21 04:00:00+02:00,0.0,17.525,3.2,2.05,2.75,2.9,2.525,20.625,6.15,0.0,100.0
2013-05-21 05:00:00+02:00,0.0,22.125,3.525,2.425,2.675,3.025,2.65,21.675,7.65,0.0,100.0
2013-05-21 06:00:00+02:00,21.9,84.225,121.2,91.8,99.65,153.35,55.025,124.8,105.775,1.0,73.3333333333
2013-05-21 07:00:00+02:00,159.466666667,133.075,186.975,141.05,169.825,227.25,97.275,259.0,232.625,1.0,0.0
2013-05-21 08:00:00+02:00,325.85,232.45,231.875,184.85,284.3,263.1,167.325,416.05,404.9,0.6,0.0
2013-05-21 09:00:00+02:00,447.166666667,93.2,271.4,91.9,155.875,284.175,159.65,269.125,305.875,0.0,0.0
2013-05-21 10:00:00+02:00,703.85,290.525,126.675,184.525,140.3,128.675,213.675,169.975,172.825,0.0,0.0
2013-05-21 11:00:00+02:00,631.266666667,389.95,435.95,519.15,519.325,334.625,453.125,266.75,259.7,0.0,0.0
2013-05-21 12:00:00+02:00,706.933333333,490.8,466.725,374.775,608.9,487.7,496.85,750.25,631.825,0.0,0.0
2013-05-21 13:00:00+02:00,442.716666667,254.325,251.875,254.3,286.5,254.6,219.9,271.725,285.65,0.0,0.0
2013-05-21 14:00:00+02:00,539.5,287.05,299.65,303.625,340.675,319.85,262.725,325.05,347.525,0.0,0.0
2013-05-21 15:00:00+02:00,573.6,253.275,259.8,325.825,318.325,320.025,248.6,291.3,336.025,0.0,0.0
2013-05-21 16:00:00+02:00,705.45,502.875,592.75,865.25,553.875,613.225,463.45,435.5,404.0,0.0,0.0
2013-05-21 17:00:00+02:00,578.616666667,254.8,274.05,171.35,390.3,274.15,478.15,408.5,259.775,0.0,0.0
2013-05-21 18:00:00+02:00,405.9,366.225,341.5,71.15,350.575,398.4,155.075,280.85,366.85,0.0,0.0
2013-05-21 19:00:00+02:00,227.733333333,125.9,139.7,105.575,146.2,205.0,97.625,180.925,177.525,0.633333333333,0.0
2013-05-21 20:00:00+02:00,35.3666666667,43.75,45.0,47.025,42.725,56.075,38.35,61.275,52.05,0.0,0.0
2013-05-21 21:00:00+02:00,0.283333333333,21.025,3.3,2.225,2.85,3.45,2.675,18.1,7.575,0.0,96.6666666667
2013-05-21 22:00:00+02:00,0.0,17.0,2.225,1.925,2.2,2.175,2.275,21.75,6.65,0.0,100.0
2013-05-21 23:00:00+02:00,0.0,17.825,3.1,1.425,2.55,1.875,2.35,18.875,7.025,0.0,100.0
2013-05-22 00:00:00+02:00,0.0,18.65,2.3,1.925,2.625,2.475,2.675,19.625,7.075,0.0,100.0
2013-05-22 01:00:00+02:00,0.0,21.425,3.225,2.325,2.775,2.55,2.675,18.0,7.375,0.0,100.0
2013-05-22 02:00:00+02:00,0.0,15.025,2.525,1.75,1.775,2.55,2.125,20.95,6.725,0.0,100.0
