BA	BF	PC	PL	VC	VL	! Entity	
-0.286961946	-0.286961946	0.296116505	0.320748748	0.526340283	0.480417755	! slope Number of Leaves=f(Length)	
6.148471616	6.148471616	4.188280166	3.868046401	5.951368206	5.129112272	! intercept Number of Leaves=f(Length)	
37.1573612	37.1573612	20.95647573	8.863041498	26.48872534	23.35853695	! slope Shoot leaf area=f(Length)	
11.89501747	11.89501747	67.08223925	86.42823609	102.1238472	-12.43494059	! intercept Shoot leaf area=f(Length)	
93.1	93.1	71.3	2.2	73.1	45.6	! Mean slope petiole angle	
30.9	30.9	36.5	26	37.3	21	! Std-deviation petiole angle	
0.5218	0.5218	0.2597	0.1632	0.3009	0.2041	! slope petiole length=f(Leaf length)	
-0.201	-0.201	0.9338	1.5096	0.5961	1.3438	! intercept petiole length=f(Leaf length)	
0.514745735	0.514745735	0.417146563	0.402384065	0.36704831	0.426415102	! slope Leaf area = f(Midrib length?)	
0.744857425	0.744857425	0.618077506	0.550608357	0.462799203	0.549232049	! slope Leaf width =f(Leaf length)	
0	0	0	0	0	0	! -180/-165	Roulis
0	0	1.882486721	0	2.184322341	0	! -165/-150	
0	0	0	0	1.411056838	0	! -150/-135	
1.42088267	1.42088267	2.259498227	0.768906159	0	0	! -135/-120	
0	0	2.723438804	0	0	1.618013856	! -120/-105	
2.485833824	2.485833824	5.55293825	0	0	0	! -105/-90
1.937973475	1.937973475	7.963575882	3.003069267	0	1.892139246	! -90/-75
6.752442269	6.752442269	2.373450642	4.33527687	1.177800909	0.756504297	! -75/-60
6.576862928	6.576862928	9.570687565	0.512687217	2.207017244	2.644458666	! -60/-45
13.60470784	13.60470784	10.85190491	11.10626993	3.341216129	6.036572691	! -45/-30
15.70577005	15.70577005	7.958135342	13.33787739	4.587250729	12.12339585	! -30/-15
8.183784552	8.183784552	7.451985737	15.23438377	27.18258422	21.97930096	! -15/0
7.751893901	7.751893901	1.994765124	21.84767486	24.00380798	28.28995751	! 0/15
13.0247578	13.0247578	14.67158268	11.16317977	19.0903863	13.9964955	! 15/30
7.36874708	7.36874708	12.41854136	6.261858814	6.210358411	0.692676942	! 30/45
3.24796393	3.24796393	6.122042678	2.745292004	5.298192155	6.910157695	! 45/60
3.24796393	3.24796393	6.122042678	2.745292004	5.298192155	6.910157695	! 60/75
3.184698499	3.184698499	2.116190809	1.83987703	0.434232455	0	! 75/90
2.016471353	2.016471353	0	2.367524117	1.989106447	2.053975772	! 90/105
4.224973089	4.224973089	2.449677992	1.433654223	0.176990447	1.006351013	! 105/120
0	0	1.639097277	1.157551119	0.327213821	0	! 120/135
0.430164307	0.430164307	0	1.185258045	0.37846358	0	! 135/150	
0	0	0	1.239955071	0	0	! 150/165	
2.082072425	2.082072425	0	0.459704343	0	0	! 165/180	
2.423482341	2.423482341	2.442144936	0	0	0	! -90/-75	Elevation
0.912525134	0.912525134	0	3.445974922	0	0	! -75/-60	
5.473830656	5.473830656	17.50395187	1.919226674	2.619349366	0.751904127	! -60/-45	
12.51467392	12.51467392	7.757194068	8.794876494	4.791703498	0	! -45/-30	
7.557121677	7.557121677	15.28540716	6.148475465	9.518599888	5.352872469	! -30/-15	
26.07277048	26.07277048	11.78140029	10.6948735	12.8908539	5.130978172	! -15/0	
14.53236387	14.53236387	12.29675696	15.2075495	21.31880727	11.09747175	! 0/15	
13.41298211	13.41298211	13.02160433	17.84809125	16.1425816	13.96276092	! 15/30	
4.502000528	4.502000528	1.342916656	24.24633421	12.5950256	27.56868924	! 30/45	
5.237219977	5.237219977	6.671477459	7.805561581	9.114511429	21.97373284	! 45/60	
6.563153726	6.563153726	9.823702581	2.739900218	9.540698864	12.77888808	! 60/75	
0.797875581	0.797875581	2.073443707	1.149136192	1.467868586	1.382702397	! 75/90	
