BA	BF	PC	PL	VC	VL	! Entity
0.1182	0.1182	0.1182	0.1182	0.1182	0.1182	! slope Number of Leaves=f(Length)	
3.3649	3.3649	3.3649	3.3649	3.3649	3.3649	! intercept Number of Leaves=f(Length)	
20.487	20.487	20.487	20.487	20.487	20.487	! slope Shoot leaf area=f(Length)	
301.56	301.56	301.56	301.56	301.56	301.56	! intercept Shoot leaf area=f(Length)	
0	0	0	0	0	0	! Mean slope petiole angle	
0	0	0	0	0	0	! Std-deviation petiole angle	
0	0	0	0	0	0	! slope petiole length=f(Leaf length)	
4	0	0	0	0	0	! intercept petiole length=f(Leaf length)	
0.5259218	0.53230037	0.4725628	0.50844131	0.40471299	0.52303755	! slope Leaf area = f(Midrib length?)	
0.8559167	0.68051375	0.62104914	0.68395167	0.58315953	0.70640408	! slope Leaf width =f(Leaf length)	
0	3.348821201	0	0	4.565797577	4.308838348	! -180/-165	Roulis
0	8.809155051	0	0	2.527886129	3.329464138	! -165/-150	
0	6.384443297	0	0	7.115582016	3.46135694	! -150/-135	
0	2.619170539	0	0	15.42462191	3.75856219	! -135/-120	
0	8.230941318	0	0	4.959967153	3.843769532	! -120/-105	
0	2.135604887	0	0	4.724560323	3.784838706	! -105/-90
0	2.245740836	0	0	0.875932389	6.031353241	! -90/-75
0	5.990363104	0.121639233	0.1	4.968179019	5.423932038	! -75/-60
0	1.652039236	1.351547039	1.4	6.04256484	4.64303481	! -60/-45
0	0	10.89057296	10.9	0.592623007	3.835605954	! -45/-30
15	4.562037515	14.03967756	14	2.508725108	4.898911948	! -30/-15
35	5.200481845	29.23589323	29.2	3.795250804	0.750794035	! -15/0
35	4.534503528	18.44089395	18.4	5.174844317	5.144584614	! 0/15
15	0	16.73022156	16.7	3.822623691	2.377131778	! 15/30
0	8.416795732	7.589902013	7.6	2.169301307	6.453308162	! 30/45
0	11.57115815	0	0	2.438924246	4.202201615	! 45/60
0	9.956978145	0	0	4.877848491	7.346709696	! 60/75
0	0	0	0	6.756997194	4.418536424	! 75/90
0	0	0	0	0	5.515517175	! 90/105
0	4.052658751	1.599652459	1.6	4.750564566	3.411099915	! 105/120
0	4.630872483	0	0	0	3.274359988	! 120/135
0	2.915160902	0	0	5.699035106	4.488437058	! 135/150	
0	0	0	0	1.684801204	2.738625202	! 150/165	
0	2.743073481	0	0	4.523369602	2.559026493	! 165/180	
0	3.949406298	0	0	0	0	! -90/-75	Elevation
0	3.347100327	0	0	8.715772706	0	! -75/-60	
0	7.9452762	11.15495582	0	0	0.600278072	! -60/-45	
0	9.000172087	13.86153985	3.68200029	5.973469556	2.153398727	! -45/-30	
0	18.07778351	6.185553672	7.100448907	21.22847491	5.994362029	! -30/-15	
0	4.15074858	8.871437258	19.03557465	6.053115817	11.88923046	! -15/0	
30	16.87489245	22.28144851	12.91113578	15.97868776	23.11108843	! 0/15	
40	8.105317501	15.05699093	19.42848868	23.6865233	22.49346276	! 15/30	
30	11.17535708	9.72791844	21.93657383	15.17947873	25.24433333	! 30/45	
0	6.639132679	6.519348453	7.442197229	1.224904562	6.993890072	! 45/60	
0	7.262089141	5.255327132	5.498865666	1.959572657	1.519956121	! 60/75	
0	3.472724144	1.085479927	2.964714968	0	0	! 75/90	

