#Pommier Melgueil Braeburn 64				
CODE :	FORM-A			
CLASSES:				
SYMBOL	SCALE	DECOMPOSITION	INDEXATION	DEFINITION
$ 	0	FREE	FREE	IMPLICIT
P	1	FREE	FREE	EXPLICIT
R	2	PURELINEAR	FREE	IMPLICIT
M	2	PURELINEAR	FREE	IMPLICIT
S	2	PURELINEAR	FREE	IMPLICIT
I	3	FREE	FREE	EXPLICIT
U 	3	FREE	FREE	EXPLICIT
W	3	FREE	FREE	EXPLICIT
D 	3	FREE	FREE	EXPLICIT
E	4	FREE	FREE	EXPLICIT
F	4	FREE	FREE	EXPLICIT

DESCRIPTION :			
LEFT	RIGHT	RELTYPE	MAX
R	R,M,S	+	?
R	R,M,S	<	1
M	R,M,S	+	?
M	M,S	<	1
S	R,M,S	+	?
S	S	<	1
U	U,W,I,D	+	?
U	U,W,I,D	<	1
W	U,W,I,D	+	?
W	U,W,I,D	<	1
I	U,W,I,D	+	?
D	U,W,I,D	<	1
D	D, W	+	?
E	E,F	+	?
E	E,F	<	1


FEATURES:			
NAME	TYPE		
TopDia	REAL		
XX	REAL		
YY	REAL		
ZZ	REAL		
d98	REAL		
Nli98	INT		
x98	REAL		
y98	REAL		
z98	REAL		
d97	REAL		
rem	ALPHA		
Nli97	INT
x97	REAL
y97	REAL
z97	REAL
Nfruit	REAL
MS	REAL
fermete	REAL
IR	REAL
diam	REAL
hauteur	REAL
color	REAL
codeami	REAL
Poids	REAL
Densite	REAL
Hertz	REAL
Elson	REAL
lin	INT																																		

MTG:																																			
ENTITY-CODE								TopDia	XX	YY	ZZ	d98	Nli98	x98	y98	z98	d97	rem	Nli97	x97	y97	z97	Nfruit	MS	fermete	IR	diam	hauteur	color	codeami	Poids	Densite	Hertz	Elson	lin
/P64								637	71.03	9.62	-12.55																								1
^/R1/U94/E1								637	71.03	9.62	-12.55	56.4	1	129.52	11.32	-11.81	552		1	-20.27	-1.56	-5.39													2
^<E2<<E5								484	74.42	10.7	-21.54	41.3	2	132.84	12.96	-25.89	379		2	-16.32	0.33	-20.19													3
^<E6<<E10												42.53	3	132.11	15.16	-38.43	394		3	-17.01	-0.25	-37.15													4
^<E11<<E15								448	73.16	10.25	-56.54	43.46	4	132.25	12.06	-55.56	389		4	-16.34	-1.36	-52.16													5
^<E16<<E20												42.16	5	131.5	10.17	-69.82	392		5	-16.85	-3.6	-66.77													6
^<E21<<E25								447	70.33	6.42	-81.78	42.83	6	131	8.81	-78.68	396		6	-17.79	-4.66	-75.34													7
	+S1/I95/E1+D95/E1<D96/E1<I97/E1+D97/E1												7						7	-25.27	-3.74	-74.06													8
	^<I98/E1+D98/E1												8	121.7	10.24	-78.37																			9
	^<I99/E1								60.6	8	-80.08																								10
		+S1/D99/E1							60.51	7.54	-80.82																								11
	^<E2																																		12
		+D99/E1							60.53	7.14	-78.58																								13
	^<F1																																		14
^<E26													9					CASSE																	15
^<E27													10																						16
	+R1/D95/E1<I96/E1+D96/E1<I97/E1											8.9	11	125.59	-0.39	-87.12	86		8	-22.77	-14.13	-82.03													17
		+U97/E1<<E5						46	65.97	-6.25	-89.59	5.7	12	125.68	-3.79	-87.56	47		9	-22.03	-20.08	-84.92													18
		^<E6											13																						19
			+S1/I98/E1										14	125.92	-6.65	-86.52																			20
		^<E7<E8											15																						21
			+S1/I98/E1										16	125.23	-7.97	-84.53																			22
		^<E9<E10										5.9	17	125.87	-9.51	-84.1			10	-21.87	-26.48	-88.62													23
			+S1/I98/E1+D98/E1										18	125.56	-11.46	-83.27																			24
			^<I99/E1						65.72	-15.22	-88.91																								25
				+S1/D99/E1					65.46	-15.85	-88.85																								26
			^<F2																																27
		^<E11<E12											19																						28
			+S1/I98/E1										20	126.79	-12.29	-80.84																			29
		^<E13											21																						30
			+S1/I98/E1										22	124.7	-11.22	-78.14																			31
				+S1/D98/E1									23	124.6	-11.03	-78.5																			32
				^<I99/E1+D99/E1					62.54	-16.92	-84.77																								33
			^<F1										24																						34
		^<E14<E15											25				69		11	-22.32	-28.32	-89.99													35
		^<W97/E1<<E5						35	65.51	-18.84	-82.35	4.2	26	125.5	-12.31	-76.69	42		12	-22.99	-29.47	-92.03													36
		^<E6											27																						37
			+S1/D98/E1										28	124.53	-13.06	-74.84																			38
			^<I99/E1+D99/E1						62.94	-20.93	-82.63																								39
		^<E7<<E10											29						13	-22.95	-31.35	-95.83													40
		^<I98/E1											30	125.1	-12.2	-71.42																			41
			+D98/E1										31	124.88	-12.67	-71.19																			42
			^<I99/E1+D99/E1						62.99	-23.15	-76.77																								43
		^<F2											32																						44
^<E28<<E30												47.62	33	126.89	8.72	-90.97	401		14	-22.09	-5.41	-87.07													45
	+M1/I95/E1+D95/E1<I96/E1+D96/E1<I97/E1+W97/E1<<E8												34						15	-24.42	0.71	-89.67													46
	^<I98/E1												35	124.34	15.39	-93.92																			47
		+W98/E1<<E4																																	48
			+S1/I99/E1						62.63	13.78	-96.5																								49
		^<E5						26	61.79	14.34	-96.35																								50
			+S1/I99/E1						60.88	15.07	-95.48																								51
		^<E6<<E8											36	122.29	19.3	-96.2																			52
		^<I99/E1							59.62	16.54	-98.3																								53
			+S1/D99/E1						59.48	15.86	-99.67																								54
		^<E2																																	55
			+D99/E1						60.55	17.76	-97.81																								56
		^<F3																																	57
^<E31													37																						58
	+S1/I95/E1+D95/E1<I96/E1+D96/E1<I97/E1+D97/E1												38						16	-18.64	-12.14	-92.12													59
	^<I98/E1+D98/E1												39	130.42	-0.06	-97.95																			60
	^<I99/E1								69.87	-2.37	-99.03																								61
		+S1/D99/E1																																	62
	^<E2																																		63
		+D99/E1							69.52	-3.43	-99.31																								64
^<E32													40					MORT																	65
^<E33													41																						66
	+R1/I95/E1+D95/E1<I96/E1												42																						67
		+U96/E1<<E5						127	62.39	7.06	-105.65	12.88	43	122.55	-6.62	-99.32	121		17	-23.84	-16.92	-93.45													68
		^<E6<<E10										11.5	44	121.42	-15.43	-100.75	109		18	-25.44	-26.1	-96.12													69
		^<E11<E12											45					MORT																	70
		^<E13											46						19	-24.99	-32.43	-96.06													71
			+S1/I97/E1										47																						72
		^<E14<E15						107	32.82	4.09	-86.18	11.4	48	120.13	-23.07	-100.4	96		20	-28.04	-36.68	-99.39													73
			+S1/I97/E1+D97/E1										49						21	-26.98	-40.06	-99.01													74
			^<I99/E1						32.78	6.95	-106.87																								75
				+S1/D99/E1																															76
			^<E2																																77
				+S1/D99/E1					34.19	7.48	-106.56																								78
		^<E16											50																						79
			+S1/I97/E1+D97/E1										51						22	-30.33	-40.95	-96.34													80
			^<I98/E1+D98/E1										52	120.62	-31.45	-100.01																			81
			^<D99/E1						28.26	2.6	-75.92																								82
		^<E17											53																						83
			+S1/I97/E1+D97/E1										54						23	-27.48	-45.13	-98.45													84
			^<I98/E1										55	117.79	-27.11	-98.43																			85
				+I99/E1+D99/E1					30.05	8.14	-100.16																								86
			^<F3										56																						87
		^<E18											57																						88
			+S1/I97/E1+D97/E1										58						24	-32.12	-46.93	-99.14													89
			^<I98/E1										59	121.48	-31.28	-98.65																			90
				+S1/D98/E1									60	121.24	-31.86	-98.29																			91
			^<F4										61																						92
		^<E19											62																						93
			+S1/I97/E1+D97/E1										63						25	-30.03	-49.18	-95.49													94
			^<I99/E1+D99/E1						26.27	3.58	-94.77																								95
		^<E20										10.4	64	117.41	-33.94	-98.78	95		26	-30.88	-50.25	-97.94													96
			+M1/I97/E1+W97/E1<<E6										65						27	-30.06	-52.32	-99.22													97
			^<I98/E1+D98/E1										66	118.32	-35.95	-93.96																			98
			^<I99/E1						23.74	4.1	-101.83																								99
				+S1/D99/E1					23.21	3.89	-102.86																								100
			^<F4																																101
		^<E21											67																						102
			+S1/I97/E1+D97/E1										68						28	-34.32	-53.16	-94.24													103
			^<I98/E1+D98/E1										69	118.1	-40.51	-100.18																			104
			^<I99/E1+D99/E1						25.59	-0.53	-92.15																								105
		^<E22											70																						106
			+S1/I97/E1+D97/E1										71																						107
			^<I98/E1+D98/E1										72	114.14	-37.96	-92.92																			108
		^<E23											73																						109
			+R1/I97/E1										74																						110
				+S1/D97/E1									75						29	-36.27	-58.27	-93.24													111
				^<I98/E1+D98/E1									76	112.92	-42.11	-89.43																			112
				^<I99/E1+D99/E1					19.94	-1	-90.67																								113
			^<E2										77																						114
				+D97/E1									78						30	-36.78	-57.66	-95.11													115
				^<U98/E1<<E5				55	18.28	-3.12	-93.19	5.9	79	111.58	-43.35	-92.45																			116
				^<E6<<E8																															117
					+S1/I99/E1+D99/E1				19.31	-7.66	-95.64																								118
				^<E9																															119
					+S1/I99/E1+D99/E1				21.07	-9.92	-95.41																								120
				^<E10								3.9	80	102.11	-44.07	-98.42																			121
				^<E11																															122
					+S1/I99/E1+D99/E1				18.11	-14.21	-97.58																								123
				^<E12																															124
