name;col;row;treatment;volume;diameter;height;estimated_leaf_area;STAR;max_excentricity
X0036;1;1;WW;2.437958566;0.907944052;1.708686142;3.053072173;0.626818643;0.965208197
X0036;2;1;WD;1.950687805;0.817107748;1.674100943;3.097198536;0.584994152;0.220593747
X0036;9;14;WW;2.067581888;1.684348118;1.765577869;2.731371053;0.656105315;0.525523043
X0036;10;14;WD;3.081121206;1.645915145;2.151167746;4.497583528;0.606121942;0.457850453
X0048;1;2;WW;0.531427028;0.596355732;1.453130027;0.482438593;0.629090039;0.295063871
X0048;2;2;WD;0.654937655;0.720317168;1.213035681;0.668645383;0.753172255;0.588097726
X0048;7;55;WW;1.731667621;0.979487094;1.848828001;1.718079449;0.836732311;0.379243143
X0048;8;55;WD;1.268122782;0.949807817;1.594030307;1.500574639;0.77546845;0.459133961
X0156;1;3;WW;3.229681504;1.155655259;2.406335899;2.74166617;0.83063081;0.517158959
X0156;2;3;WD;4.095444907;1.461916152;2.178089121;4.344016726;0.632853939;1.050811768
X0156;7;85;WW;4.369611289;1.639549937;2.731149167;4.43655644;0.789915628;0.728072375
X0156;8;85;WD;3.03476292;1.087869712;2.330969453;2.732618353;0.90727381;0.668548314
X0337;1;4;WW;3.597358088;1.147058635;3.245804663;4.257888599;0.834299255;0.402487373
X0337;2;4;WD;2.523784531;1.363608231;2.842301769;3.93050723;0.708207943;0.259385809
X0337;7;54;WW;3.366103898;1.047942534;3.113037788;3.749632042;0.916137835;0.427073585
X0337;8;54;WD;1.806960971;0.463393466;2.92946683;2.672160867;0.905666715;0.325396553
X0342;1;5;WW;2.103286112;0.925273363;2.173446488;2.606340929;0.848972024;0.456461596
X0342;2;5;WD;1.586443113;0.718847862;2.117693035;2.341272005;0.753062393;0.292830102
X0342;5;83;WW;2.723956226;1.098241;2.581536307;2.864912694;0.887414338;0.272309333
X0342;6;83;WD;2.004519199;0.835521166;2.25033294;2.87073213;0.716229397;0.186025821
X0344;1;6;WW;3.948909717;1.226791804;3.440618647;4.102979678;0.939427496;0.351599342
X0344;2;6;WD;3.811882951;1.576272488;2.966495495;4.108420597;0.882320159;0.572049864
X0344;9;45;WW;3.038625896;1.140155765;2.796415021;2.766162602;1.018803168;0.39572543
X0344;10;45;WD;2.969397131;0.95329474;2.621400276;4.725614004;0.701763324;0.260006472
X0352;1;7;WW;2.180909936;0.948979379;2.165624092;3.106723558;0.649176438;0.46340407
