vid,class,number
3,U,13
26,D,0
36,D,0
38,U,12
46,D,0
48,I,0
53,D,0
55,D,0
57,D,0
61,D,0
63,I,1
66,D,0
71,D,0
73,I,1
75,D,0
77,I,1
79,D,0
83,D,0
85,I,1
88,D,0
90,D,0
95,D,0
97,I,2
100,D,0
104,D,0
109,D,0
111,I,1
114,D,0
116,D,0
122,D,0
124,I,1
127,D,0
129,W,0
142,D,0
144,I,1
147,D,0
149,D,0
155,W,0
164,W,0
177,U,6
187,D,0
191,D,0
196,I,0
202,D,0
207,I,0
211,I,0
215,I,1
218,W,0
231,D,0
238,D,0
245,U,6
260,D,0
262,I,0
268,I,1
270,W,1
273,I,1
275,D,0
284,I,1
287,W,0
294,I,0
302,I,0
306,I,0
311,W,1
319,I,0
327,I,1
330,W,2
337,I,0
342,D,0
348,I,1
351,W,0
363,D,0
369,W,0
378,I,1
380,W,3
387,D,0
389,D,0
393,D,0
397,D,0
404,I,1
406,W,5
410,D,0
414,D,0
418,D,0
423,D,0
427,D,0
432,I,1
435,W,0
447,D,0
449,U,22
454,D,0
460,U,4
468,D,0
470,D,0
475,D,0
477,I,0
481,D,0
483,I,1
485,D,0
495,D,0
497,I,1
499,D,0
503,I,3
506,D,0
508,W,0
517,W,0
524,W,5
531,I,1
533,D,0
538,D,0
542,D,0
546,D,0
550,D,0
555,W,0
574,D,0
576,D,0
583,D,0
585,I,0
590,D,0
592,D,0
594,I,1
596,D,0
600,U,8
607,D,0
611,D,0
615,I,0
619,D,0
623,I,0
627,I,0
632,I,0
636,I,0
643,I,1
646,D,0
648,I,1
651,W,0
662,D,0
666,U,6
674,D,0
676,I,0
680,D,0
682,I,0
688,D,0
690,D,0
694,D,0
698,D,0
702,D,0
711,U,11
723,D,0
727,I,1
729,D,0
733,I,1
735,D,0
739,D,0
741,I,1
743,W,0
752,I,1
755,D,0
760,D,0
764,I,1
767,D,0
772,I,0
777,I,1
779,D,0
783,I,0
787,D,0
795,U,0
815,U,7
821,D,0
829,D,0
831,D,0
835,D,0
840,I,0
846,D,0
852,I,1
855,W,0
869,I,1
871,D,0
873,I,0
878,D,0
880,I,0
890,U,9
908,D,0
912,I,0
917,D,0
921,D,0
926,D,0
932,D,0
937,D,0
941,D,0
945,D,0
948,U,0
976,D,0
978,I,1
981,D,0
983,W,0
998,D,0
1000,D,0
1004,D,0
1006,I,1
1009,D,0
1011,I,1
1013,W,0
1022,I,0
1032,D,0
1034,D,0
1038,D,0
1040,D,0
1046,W,1
1053,I,1
1056,W,0
1082,I,1
1084,U,12
1089,D,0
1093,D,0
1097,D,0
1099,I,1
1102,D,0
1107,D,0
1114,I,0
1118,D,0
1122,I,1
1124,D,0
1126,I,0
1131,D,0
1133,I,0
1138,D,0
1145,I,1
1148,W,0
1157,D,0
1165,D,0
1169,D,0
1174,D,0
1176,U,10
1183,D,0
1187,I,0
1192,I,1
1194,W,0
1203,I,1
1206,D,0
1212,D,0
1216,I,1
1218,W,0
1224,I,1
1226,D,0
1232,I,1
1235,D,0
1240,D,0
1244,D,0
1252,U,0
1278,I,1
1281,D,0
1283,I,1
1286,D,0
1291,I,1
1293,W,4
1301,D,0
1303,D,0
1307,I,0
1312,I,0
1316,D,0
1322,I,1
1325,W,6
1331,D,0
1335,D,0
1340,I,0
1344,D,0
1348,I,1
1350,D,0
1354,I,1
1356,D,0
1360,I,1
1363,W,0
1375,I,1
1377,W,3
1384,D,0
1386,I,0
1392,D,0
1394,D,0
1398,D,0
1403,I,1
1406,W,1
1416,D,0
1419,I,0
1425,I,1
1427,D,0
1429,I,1
1432,W,0
1439,I,1
1442,W,0
1454,D,0
1456,D,0
1458,I,1
1460,U,6
1468,D,0
1470,I,1
1473,D,0
1478,D,0
1480,D,0
1485,W,0
1498,I,2
1501,W,0
1509,W,0
1522,D,0
1524,I,0
1529,W,1
1540,D,0
1544,I,1
1547,W,0
1557,I,1
1559,D,0
1561,I,0
1568,I,1
1570,W,4
1578,D,0
1582,I,0
1586,I,0
1590,W,0
1599,I,0
1610,U,21
1614,D,0
1619,W,3
1631,D,0
1633,D,0
1637,D,0
1639,I,0
1650,D,0
1653,I,1
1655,W,4
1662,D,0
1666,I,0
1672,I,0
1677,D,0
1681,I,1
1683,W,0
1696,U,5
1708,D,0
1710,I,1
1712,D,0
1716,D,0
1718,D,0
1723,D,0
1725,I,1
1728,D,0
1734,D,0
1736,D,0
1747,I,1
1749,D,0
1751,I,0
1757,I,2
1760,W,5
1764,D,0
1769,D,0
1773,D,0
1777,D,0
1781,D,0
1785,I,1
1788,W,0
1800,W,7
1804,D,0
1808,D,0
1812,D,0
1816,D,0
1820,D,0
1824,D,0
1828,D,0
1833,I,1
1836,W,0
1849,U,11
1853,I,1
1855,D,0
1862,D,0
1866,D,0
1871,D,0
1873,I,1
1875,D,0
1877,D,0
1885,D,0
1887,I,1
1889,D,0
1893,D,0
1895,W,0
1907,I,1
1910,D,0
1916,D,0
1918,I,1
1920,D,0
1922,D,0
1926,D,0
1930,D,0
1932,I,1
1934,D,0
1938,I,1
1941,D,0
1946,W,0
1959,U,7
1970,D,0
1974,D,0
1979,I,1
1981,D,0
1985,D,0
1989,D,0
1993,D,0
1997,D,0
2002,I,1
2005,W,0
2019,U,9
2029,D,0
2031,D,0
2033,I,1
2035,D,0
2039,D,0
2043,D,0
2047,I,1
2050,D,0
2052,D,0
2054,I,1
2057,W,0
2067,I,1
2069,D,0
2071,D,0
2073,D,0
2077,I,1
2079,D,0
2081,I,1
2084,D,0
2086,D,0
2091,I,1
2093,W,2
2099,D,0
2103,D,0
2106,I,1
2109,W,1
2118,D,0
2123,I,1
2126,W,0
2140,W,1
2147,D,0
2149,I,0
2158,D,0
2163,I,2
2166,I,0
2171,W,3
2178,D,0
2183,I,0
2187,D,0
2192,I,1
2195,W,0
2207,U,7
2216,D,0
2218,I,0
2224,D,0
2226,I,1
2229,W,0
2238,D,0
2240,I,0
2246,D,0
2248,I,1
2250,D,0
2255,D,0
2259,D,0
2261,I,1
2264,W,0
2276,D,0
2278,I,0
2288,I,1
2290,U,8
2302,D,0
2306,I,1
2308,D,0
2312,I,0
2316,I,1
2319,D,0
2324,I,1
2327,D,0
2332,I,1
2334,D,0
2338,I,1
2340,D,0
2345,D,0
2350,U,0
2380,D,0
2382,I,0
2387,I,1
2389,U,8
2394,D,0
2396,D,0
2401,D,0
2403,D,0
2409,D,0
2411,I,1
2413,D,0
2415,D,0
2419,D,0
2421,D,0
2425,D,0
2429,D,0
2431,I,1
