vid,class,number
3,U,59
26,D,1
36,D,1
38,U,28
46,D,1
48,I,2
53,D,1
55,D,1
57,D,1
61,D,1
63,I,2
66,D,1
71,D,1
73,I,1
75,D,1
77,I,1
79,D,1
83,D,1
85,I,2
88,D,1
90,D,1
95,D,1
97,I,3
100,D,1
104,D,1
109,D,1
111,I,2
114,D,1
116,D,1
122,D,1
124,I,2
127,D,1
129,W,9
142,D,1
144,I,2
147,D,1
149,D,1
155,W,8
164,W,12
177,U,19
187,D,1
191,D,1
196,I,1
202,D,1
207,I,1
211,I,1
215,I,2
218,W,8
231,D,1
238,D,1
245,U,20
260,D,1
262,I,1
268,I,1
270,W,8
273,I,1
275,D,1
284,I,4
287,W,6
294,I,2
302,I,1
306,I,2
311,W,12
319,I,1
327,I,2
330,W,11
337,I,1
342,D,1
348,I,2
351,W,7
363,D,5
369,W,8
378,I,1
380,W,12
387,D,1
389,D,1
393,D,1
397,D,1
404,I,2
406,W,10
410,D,1
414,D,1
418,D,1
423,D,1
427,D,1
432,I,2
435,W,6
447,D,1
449,U,47
454,D,1
460,U,18
468,D,1
470,D,1
475,D,1
477,I,1
481,D,1
483,I,1
485,D,1
495,D,1
497,I,1
499,D,1
503,I,4
506,D,1
508,W,6
517,W,4
524,W,13
531,I,1
533,D,1
538,D,1
542,D,1
546,D,1
550,D,1
555,W,14
574,D,1
576,D,1
583,D,1
585,I,2
590,D,1
592,D,1
594,I,1
596,D,1
600,U,18
607,D,1
611,D,1
615,I,1
619,D,1
623,I,1
627,I,1
632,I,1
636,I,1
643,I,2
646,D,1
648,I,2
651,W,6
662,D,1
666,U,19
674,D,1
676,I,1
680,D,1
682,I,2
688,D,1
690,D,1
694,D,1
698,D,1
702,D,1
711,U,26
723,D,1
727,I,1
729,D,1
733,I,1
735,D,1
739,D,1
741,I,1
743,W,6
752,I,2
755,D,1
760,D,1
764,I,2
767,D,1
772,I,2
777,I,1
779,D,1
783,I,1
787,D,1
795,U,17
815,U,25
821,D,1
829,D,1
831,D,1
835,D,1
840,I,1
846,D,5
852,I,2
855,W,9
869,I,1
871,D,1
873,I,2
878,D,1
880,I,2
890,U,29
908,D,1
912,I,2
917,D,1
921,D,1
926,D,1
932,D,1
937,D,1
941,D,1
945,D,1
948,U,25
976,D,1
978,I,2
981,D,1
983,W,11
998,D,1
1000,D,1
1004,D,1
1006,I,2
1009,D,1
1011,I,1
1013,W,4
1022,I,2
1032,D,1
1034,D,1
1038,D,1
1040,D,1
1046,W,14
1053,I,2
1056,W,5
1082,I,2
1084,U,15
1089,D,1
1093,D,1
1097,D,1
1099,I,2
1102,D,1
1107,D,6
1114,I,1
1118,D,1
1122,I,1
1124,D,1
1126,I,2
1131,D,1
1133,I,2
1138,D,6
1145,I,2
1148,W,5
1157,D,5
1165,D,1
1169,D,1
1174,D,1
1176,U,23
1183,D,1
1187,I,2
1192,I,1
1194,W,6
1203,I,2
1206,D,1
1212,D,1
1216,I,1
1218,W,3
1224,I,1
1226,D,1
1232,I,2
1235,D,1
1240,D,1
1244,D,1
1252,U,22
1278,I,1
1281,D,1
1283,I,2
1286,D,1
1291,I,1
1293,W,14
1301,D,1
1303,D,1
1307,I,1
1312,I,1
1316,D,1
1322,I,2
1325,W,12
1331,D,1
1335,D,1
1340,I,1
1344,D,1
1348,I,1
1350,D,1
1354,I,1
1356,D,1
1360,I,1
1363,W,8
1375,I,1
1377,W,12
1384,D,1
1386,I,1
1392,D,1
1394,D,1
1398,D,1
1403,I,2
1406,W,9
1416,D,1
1419,I,2
1425,I,1
1427,D,1
1429,I,2
1432,W,6
1439,I,2
1442,W,6
1454,D,1
1456,D,1
1458,I,2
1460,U,18
1468,D,1
1470,I,2
1473,D,1
1478,D,1
1480,D,1
1485,W,12
1498,I,3
1501,W,5
1509,W,8
1522,D,1
1524,I,2
1529,W,11
1540,D,1
1544,I,2
1547,W,5
1557,I,1
1559,D,1
1561,I,2
1568,I,4
1570,W,11
1578,D,1
1582,I,1
1586,I,1
1590,W,6
1599,I,2
1610,U,65
1614,D,1
1619,W,19
1631,D,1
1633,D,1
1637,D,1
1639,I,2
1650,D,1
1653,I,1
1655,W,13
1662,D,1
1666,I,1
1672,I,1
1677,D,1
1681,I,2
1683,W,5
1696,U,26
1708,D,1
1710,I,1
1712,D,1
1716,D,1
1718,D,1
1723,D,1
1725,I,2
1728,D,1
1734,D,1
1736,D,1
1747,I,1
1749,D,1
1751,I,2
1757,I,2
1760,W,9
1764,D,1
1769,D,1
1773,D,1
1777,D,1
1781,D,1
1785,I,2
