cid,class,year,metamer_rank,number_ramif,ramif_class
3,U,94,0,0,B
3,U,94,1,0,B
3,U,94,2,0,B
3,U,94,3,0,B
3,U,94,4,0,B
3,U,94,5,0,B
3,U,94,6,0,B
3,U,94,7,0,B
3,U,94,8,0,B
3,U,94,9,0,B
3,U,94,10,0,B
3,U,94,11,0,B
3,U,94,12,0,B
3,U,94,13,0,B
3,U,94,14,0,B
3,U,94,15,0,B
3,U,94,16,0,B
3,U,94,17,0,B
3,U,94,18,0,B
3,U,94,19,0,B
3,U,94,20,1,D
26,D,98,0,0,B
3,U,94,21,0,B
3,U,94,22,0,B
3,U,94,23,0,B
3,U,94,24,0,B
3,U,94,25,0,B
3,U,94,26,0,B
3,U,94,27,1,D
36,D,95,0,0,B
38,U,96,0,0,B
38,U,96,1,0,B
38,U,96,2,0,B
38,U,96,3,0,B
38,U,96,4,0,B
38,U,96,5,1,D
46,D,97,0,0,B
48,I,98,0,0,B
48,I,98,1,0,B
38,U,96,6,1,D
53,D,97,0,0,B
55,D,98,0,0,B
57,D,99,0,0,B
38,U,96,7,1,D
61,D,97,0,0,B
63,I,98,0,1,D
66,D,99,0,0,B
63,I,98,1,0,B
38,U,96,8,1,D
71,D,97,0,0,B
73,I,98,0,1,D
75,D,98,0,0,B
77,I,99,0,1,D
79,D,99,0,0,B
38,U,96,9,1,D
83,D,97,0,0,B
85,I,98,0,1,D
88,D,98,0,0,B
90,D,99,0,0,B
85,I,98,1,0,B
38,U,96,10,1,D
95,D,97,0,0,B
97,I,98,0,1,D
100,D,99,0,0,B
97,I,98,1,1,D
104,D,99,0,0,B
97,I,98,2,0,B
38,U,96,11,1,D
109,D,97,0,0,B
111,I,98,0,1,D
114,D,98,0,0,B
116,D,99,0,0,B
111,I,98,1,0,B
38,U,96,12,0,B
38,U,96,13,1,D
122,D,97,0,0,B
124,I,98,0,1,D
127,D,98,0,0,B
129,W,99,0,0,B
129,W,99,1,0,B
129,W,99,2,0,B
129,W,99,3,0,B
129,W,99,4,0,B
129,W,99,5,0,B
129,W,99,6,0,B
129,W,99,7,0,B
129,W,99,8,0,B
124,I,98,1,0,B
38,U,96,14,1,D
142,D,97,0,0,B
144,I,98,0,1,D
147,D,98,0,0,B
149,D,99,0,0,B
144,I,98,1,0,B
38,U,96,15,0,B
38,U,96,16,1,W
155,W,97,0,0,B
155,W,97,1,0,B
155,W,97,2,0,B
155,W,97,3,0,B
155,W,97,4,0,B
155,W,97,5,0,B
155,W,97,6,0,B
155,W,97,7,0,B
164,W,97,0,0,B
164,W,97,1,0,B
164,W,97,2,0,B
164,W,97,3,0,B
164,W,97,4,0,B
164,W,97,5,0,B
164,W,97,6,0,B
164,W,97,7,0,B
164,W,97,8,0,B
164,W,97,9,0,B
164,W,97,10,0,B
164,W,97,11,0,B
177,U,98,0,0,B
177,U,98,1,0,B
177,U,98,2,0,B
177,U,98,3,0,B
177,U,98,4,0,B
177,U,98,5,0,B
177,U,98,6,0,B
177,U,98,7,1,D
187,D,99,0,0,B
177,U,98,8,1,D
191,D,99,0,0,B
177,U,98,9,0,B
177,U,98,10,1,I
196,I,99,0,0,B
177,U,98,11,0,B
177,U,98,12,0,B
177,U,98,13,1,D
202,D,99,0,0,B
177,U,98,14,0,B
177,U,98,15,1,I
207,I,99,0,0,B
177,U,98,16,1,I
211,I,99,0,0,B
177,U,98,17,0,B
177,U,98,18,0,B
215,I,99,0,1,W
218,W,99,0,0,B
218,W,99,1,0,B
218,W,99,2,0,B
218,W,99,3,0,B
218,W,99,4,0,B
218,W,99,5,0,B
218,W,99,6,0,B
218,W,99,7,0,B
215,I,99,1,0,B
38,U,96,17,0,B
38,U,96,18,1,D
231,D,97,0,0,B
38,U,96,19,0,B
38,U,96,20,0,B
38,U,96,21,0,B
38,U,96,22,1,D
238,D,99,0,0,B
38,U,96,23,0,B
38,U,96,24,0,B
38,U,96,25,0,B
38,U,96,26,0,B
38,U,96,27,0,B
245,U,96,0,0,B
245,U,96,1,0,B
245,U,96,2,0,B
245,U,96,3,0,B
245,U,96,4,0,B
245,U,96,5,0,B
245,U,96,6,0,B
245,U,96,7,0,B
245,U,96,8,0,B
245,U,96,9,0,B
245,U,96,10,0,B
245,U,96,11,0,B
245,U,96,12,1,D
260,D,97,0,0,B
262,I,98,0,0,B
245,U,96,13,0,B
245,U,96,14,0,B
245,U,96,15,1,I
268,I,97,0,1,W
270,W,97,0,1,I
273,I,98,0,1,D
275,D,98,0,0,B
270,W,97,1,0,B
270,W,97,2,0,B
270,W,97,3,0,B
270,W,97,4,0,B
270,W,97,5,0,B
270,W,97,6,0,B
270,W,97,7,0,B
284,I,98,0,1,W
287,W,98,0,0,B
287,W,98,1,0,B
287,W,98,2,0,B
287,W,98,3,0,B
287,W,98,4,0,B
287,W,98,5,0,B
294,I,99,0,0,B
294,I,99,1,0,B
284,I,98,1,1,I
284,I,98,2,0,B
284,I,98,2,0,B
245,U,96,16,1,I
302,I,97,0,0,B
245,U,96,17,1,I
306,I,97,0,0,B
306,I,97,1,0,B
245,U,96,18,1,W
311,W,97,0,0,B
311,W,97,1,0,B
311,W,97,2,0,B
311,W,97,3,0,B
311,W,97,4,0,B
311,W,97,5,1,I
319,I,98,0,0,B
311,W,97,6,0,B
311,W,97,7,0,B
311,W,97,8,0,B
311,W,97,9,0,B
311,W,97,10,0,B
311,W,97,11,0,B
