vid,class,number
3,U,55
30,I,1
32,D,1
34,D,1
36,I,1
38,D,1
40,I,1
42,D,1
44,I,3
47,D,1
50,D,1
56,D,1
58,I,1
60,D,1
62,I,1
64,U,15
72,I,1
77,I,1
82,I,1
84,D,1
86,I,2
89,D,1
95,I,1
99,I,2
102,D,1
104,I,1
106,D,1
111,W,10
119,D,1
121,I,1
123,D,1
129,I,2
131,D,1
133,I,1
135,D,1
142,I,1
144,D,1
146,I,1
148,D,1
150,I,1
152,W,8
161,I,1
163,W,8
169,I,1
173,I,1
178,I,3
181,D,1
184,D,1
189,I,1
191,D,1
193,I,1
195,D,1
197,I,1
199,D,1
201,I,1
203,D,1
205,I,2
208,D,1
211,D,1
216,I,1
218,D,1
220,I,1
222,U,39
237,I,1
242,I,1
244,D,1
246,I,2
249,D,1
253,D,1
257,I,1
259,D,1
261,I,1
263,D,1
265,D,1
269,I,1
271,D,1
273,I,2
275,I,1
277,D,1
282,I,1
284,D,1
286,I,2
289,D,1
294,I,1
296,D,1
298,I,1
300,D,1
304,I,1
306,W,6
313,I,1
315,D,1
317,I,2
320,D,1
325,I,1
327,D,1
329,I,1
331,D,1
333,I,1
335,D,1
339,I,1
341,D,1
343,I,1
345,D,1
349,I,2
352,D,1
354,I,1
356,D,1
358,I,1
360,D,1
363,D,1
365,U,19
375,I,1
377,D,1
381,I,1
383,D,1
388,I,1
390,D,1
394,I,1
396,D,1
400,I,1
402,D,1
406,I,1
408,D,1
412,I,1
414,D,1
418,I,2
421,D,1
425,D,1
429,I,1
431,D,1
435,I,2
438,W,5
447,I,1
449,D,1
451,I,1
453,D,1
455,I,1
457,D,1
461,I,1
463,D,1
465,I,2
467,D,1
469,I,1
471,D,1
476,I,1
478,D,1
480,I,1
482,D,1
484,I,1
486,D,1
491,I,1
493,D,1
495,I,1
497,D,1
499,I,2
502,D,1
509,I,1
511,D,1
513,I,1
515,D,1
517,I,1
519,D,1
524,I,1
526,D,1
528,I,1
530,D,1
532,D,1
536,I,1
538,D,1
540,I,1
542,D,1
544,I,1
546,D,1
550,I,2
553,D,1
555,W,11
565,I,1
567,D,1
571,I,1
573,D,1
577,I,2
580,D,1
584,D,1
589,I,1
591,D,1
593,I,1
595,D,1
597,I,2
600,D,1
605,I,1
607,D,1
609,I,1
611,D,1
613,I,1
615,D,1
619,I,1
621,D,1
623,I,1
625,D,1
629,W,6
636,I,1
638,I,1
640,U,16
645,D,1
647,I,1
649,D,1
655,D,1
657,I,1
659,D,1
664,I,1
666,D,1
669,D,1
671,I,1
673,D,1
677,I,2
679,D,1
684,I,1
686,D,1
690,I,2
692,D,1
694,I,1
696,D,1
701,I,2
703,D,1
705,D,1
710,D,1
712,I,1
714,D,1
719,I,1
721,W,12
731,I,1
733,D,1
737,I,1
739,D,1
744,I,2
746,D,1
751,I,1
753,U,44
772,I,1
774,U,26
799,I,1
801,D,1
803,I,1
805,D,1
807,I,1
809,D,1
813,I,1
815,D,1
817,I,1
819,D,1
821,I,2
824,D,1
829,I,2
832,U,18
842,I,1
844,D,1
846,D,1
850,I,1
852,D,1
854,D,1
858,I,1
860,D,1
862,I,1
864,D,1
868,I,1
870,D,1
872,I,1
876,I,2
878,D,1
883,I,2
888,I,2
890,D,1
892,D,1
897,I,1
899,D,1
901,I,2
904,D,1
909,I,1
911,D,1
913,I,1
915,D,1
919,I,1
921,D,1
923,I,1
925,D,1
928,W,3
932,W,11
941,D,1
943,D,1
948,D,1
950,D,1
954,D,1
958,D,1
960,D,1
962,W,15
970,I,1
972,D,1
977,I,1
979,D,1
983,I,1
985,D,1
989,I,1
991,D,1
995,I,1
997,D,1
1001,I,1
1003,D,1
1008,I,2
1011,D,1
1015,U,19
1024,I,1
1026,D,1
1028,I,1
1030,D,1
1035,I,1
1039,I,1
1041,D,1
1043,I,2
1046,D,1
1051,I,1
1053,D,1
1057,I,1
1059,D,1
1061,I,1
1063,D,1
1067,I,1
1069,D,1
1073,I,1
1075,D,1
1077,I,1
1079,D,1
1083,I,1
1085,D,1
1087,I,1
1089,D,1
1093,I,1
1095,D,1
1097,I,1
1099,D,1
1104,W,3
1108,W,13
1122,W,16
1130,I,1
1132,D,1
1137,I,1
1139,D,1
1143,I,1
1145,D,1
1149,I,1
1151,D,1
1155,I,1
1157,D,1
1161,I,1
1163,D,1
1167,I,1
1169,D,1
1173,D,1
1177,I,2
1180,W,5
1191,I,1
1193,W,1
1195,I,1
1197,D,1
1199,I,1
1201,W,13
1209,I,1
1213,I,1
1217,I,1
1219,D,1
1223,I,1
1225,D,1
1229,I,2
1232,D,1
1237,I,1
1239,D,1
1243,I,1
1245,D,1
1248,I,2
1251,D,1
1256,I,1
1258,D,1
1260,I,1
1262,W,6
1269,W,16
1278,D,1
1282,D,1
1288,I,2
1291,D,1
1295,D,1
1299,I,1
1305,I,1
1307,D,1
1314,I,1
1316,D,1
1318,I,1
1320,D,1
1322,I,1
1324,W,6
1331,I,2
1334,D,1
1339,I,1
1341,D,1
1343,I,1
1345,D,1
1347,I,1
1349,D,1
1351,I,1
1353,D,1
1357,I,1
1359,D,1
1361,I,2
1364,W,6
1369,D,1
1371,I,1
1373,D,1
1378,I,1
1380,W,10
1389,D,1
1393,I,1
1397,I,1
1399,D,1
1402,I,2
1405,D,1
1409,D,1
1414,I,1
1416,D,1
1418,I,1
1420,D,1
1422,I,1
1424,D,1
1426,I,1
1428,D,1
1433,I,1
1435,W,14
1450,I,2
1453,U,17
1461,I,1
1463,D,1
1465,I,1
1469,I,1
1471,D,1
1473,I,1
1475,D,1
1479,I,1
1481,D,1
1483,I,2
1486,D,1
1490,D,1
1494,I,1
1496,D,1
1500,I,1
1502,D,1
1504,I,1
1506,D,1
1510,I,2
1512,D,1
1514,D,1
1519,I,2
1521,D,1
1523,I,2
1526,D,1
1532,I,1
1536,I,1
1538,D,1
1540,I,1
1542,D,1
1546,I,1
1548,D,1
1550,I,1
1552,D,1
1556,I,2
1558,W,7
1566,I,3
1569,D,1
1573,D,1
1581,I,2
1584,D,1
1586,I,1
1588,D,1
1590,I,2
1592,D,1
1596,D,1
1598,I,1
1600,D,1
1602,I,1
1604,D,1
1606,D,1
1610,I,1
1612,D,1
1614,I,1
1616,D,1
1618,I,1
1620,D,1
1622,I,1
1624,D,1
1628,I,1
1630,D,1
1632,I,1
1634,D,1
1636,I,2
1638,D,1
1640,I,1
1642,D,1
1647,I,1
1649,D,1
1651,I,1
1653,W,6
1660,I,1
1662,W,6
1669,I,2
1672,D,1
1676,D,1
1680,I,1
1682,D,1
1684,I,1
1686,D,1
1688,I,2
1691,D,1
1694,D,1
1696,I,1
1698,D,1
1702,I,1
1704,D,1
1706,I,2
1709,W,4
1714,I,2
1716,D,1
1718,I,1
1720,D,1
1726,I,1
1728,D,1
1730,W,14
1745,I,1
1748,W,18
1760,I,1
1764,I,1
1768,I,2
1770,D,1
1772,D,1
1777,I,1
1779,D,1
1783,I,1
1785,D,1
1787,I,2
1790,D,1
1795,I,2
1797,D,1
1799,I,2
1802,D,1
1808,I,1
1810,D,1
1812,I,1
1814,D,1
1818,I,2
1821,W,6
1826,I,1
1831,I,2
1834,D,1
1838,D,1
1842,W,5
1848,I,2
1851,D,1
1857,I,1
1859,D,1
1861,I,1
1863,D,1
1865,I,2
1867,D,1
1869,I,2
1872,D,1
1878,I,1
1880,D,1
1882,I,1
1884,D,1
1886,I,1
1888,D,1
1890,I,2
1893,D,1
1899,I,1
1901,U,20
1914,I,1
1916,D,1
1918,I,1
1920,D,1
1922,I,1
1924,D,1
1928,I,2
1931,D,1
1933,I,1
1935,D,1
1937,I,1
1939,D,1
1942,D,1
1946,I,1
1948,D,1
1950,I,4
1952,D,1
1954,I,2
1957,D,1
1965,I,1
1967,D,1
1969,I,1
1971,D,1
1973,I,1
1975,D,1
1979,I,1
1981,D,1
1983,I,1
1987,I,1
1989,D,1
1991,I,1
1993,D,1
1995,I,1
1997,D,1
2001,I,1
2003,D,1
2005,I,1
2007,D,1
2009,I,1
2011,D,1
2015,I,1
2017,D,1
2019,I,1
2021,D,1
2025,W,12
2036,I,1
2040,W,13
2048,I,1
2050,D,1
2052,I,1
2054,D,1
2058,I,1
2060,D,1
2062,D,1
2066,I,1
2068,D,1
2070,D,1
2074,I,2
2076,D,1
2078,I,1
2080,D,1
2086,I,1
2088,D,1
2090,I,1
2092,D,1
2096,I,4
2098,D,1
2100,I,2
2103,D,1
2110,U,18
2114,D,1
2119,I,1
2121,D,1
2123,D,1
2130,I,1
2132,D,1
2134,D,1
2138,I,2
2140,D,1
2142,D,1
2148,I,2
2150,D,1
2152,D,1
2157,I,1
2159,D,1
2161,D,1
2165,I,1
2169,I,2
2171,D,1
2173,D,1
2178,I,5
2181,D,1
2187,W,14
2202,I,2
2205,D,1
2209,D,1
2213,W,8
2220,I,1
2222,D,1
2227,I,1
2229,D,1
2234,W,8
2243,I,2
2245,W,12
2251,D,1
2256,I,1
2258,D,1
2262,D,1
2266,I,1
2268,D,1
2274,I,3
2277,D,1
2281,D,1
2287,I,1
2289,D,1
2291,I,1
2293,D,1
2295,I,2
2298,I,4
2303,U,20
2313,I,1
2315,D,1
2317,I,1
2319,D,1
2321,D,1
2327,I,1
2329,D,1
2331,I,4
2333,D,1
2335,I,1
2337,D,1
2344,I,1
2346,D,1
2348,I,1
2350,D,1
2352,I,1
2354,D,1
2358,I,1
2360,D,1
2362,I,2
2364,D,1
2366,I,1
2368,D,1
2373,I,1
2375,D,1
2377,I,2
2379,D,1
2381,I,1
2383,D,1
2388,I,2
2391,D,1
2393,I,1
2395,D,1
2397,I,1
2399,D,1
2402,D,1
2404,I,1
2406,D,1
2408,I,1
2410,D,1
2414,I,1
2416,D,1
2418,I,1
2420,D,1
2422,I,1
2424,D,1
2428,I,3
2431,D,1
2433,I,1
2435,D,1
2437,I,1
2439,D,1
2443,D,1
2445,I,1
2447,W,10
2454,I,1
2456,D,1
2460,I,1
2465,I,1
2467,D,1
2471,I,3
2474,D,1
2478,D,1
2484,I,1
2486,D,1
2490,W,15
2504,I,1
2506,D,1
2508,I,1
2510,D,1
2514,I,1
2516,W,6
2523,I,2
2525,W,9
2533,I,1
2535,D,1
2540,I,3
2543,D,1
2547,D,1
2553,I,1
2556,U,16
2564,I,1
2566,D,1
2570,I,2
2572,D,1
2574,D,1
2580,I,1
2586,I,2
2588,D,1
2590,D,1
2595,I,1
2597,D,1
2599,I,1
2601,D,1
2605,I,1
2607,D,1
2609,D,1
2613,I,2
2615,D,1
2617,I,1
2619,D,1
2623,I,1
2625,W,12
2632,I,1
2637,I,1
2639,D,1
2643,I,1
2645,D,1
2651,I,1
2653,D,1
2656,U,17
2667,I,1
2669,D,1
2671,I,1
2673,D,1
2675,I,2
2678,D,1
2685,I,1
2687,D,1
2689,I,1
2691,D,1
2693,I,1
2695,D,1
2699,I,1
2701,D,1
2703,I,1
2705,D,1
2707,I,2
2710,D,1
2715,I,1
2717,D,1
2719,I,1
2721,D,1
2723,I,2
2726,D,1
2731,I,1
2733,D,1
2735,I,2
2737,D,1
2739,I,1
2741,D,1
2746,I,1
2748,D,1
2750,I,1
2752,D,1
2754,I,1
2756,D,1
2760,I,1
2762,D,1
2764,I,1
2766,D,1
2768,I,2
2771,D,1
2774,W,11
2784,I,1
2786,D,1
2788,I,1
2790,D,1
2792,I,2
2795,D,1
2800,I,1
2802,D,1
2804,I,1
2806,W,12
2819,I,1
2821,D,1
2826,I,1
2828,W,6
2835,I,1
2837,W,11
2845,I,1
2847,D,1
2851,D,1
2856,D,1
2860,I,1
2862,D,1
2864,I,1
2866,U,18
2872,I,1
2874,D,1
2881,I,1
2883,D,1
2885,D,1
2891,I,1
2893,D,1
2895,D,1
2899,I,1
2901,D,1
2903,I,2
2906,D,1
2910,D,1
2914,I,1
2916,D,1
2918,I,1
2920,D,1
2924,I,1
2926,D,1
2928,I,2
2931,D,1
2936,I,2
2938,D,1
2940,I,1
2942,D,1
2948,I,1
2950,W,6
2957,I,2
2960,D,1
2964,U,15
2973,I,1
2975,D,1
2979,I,1
2984,I,1
2986,D,1
2990,I,2
2993,D,1
2998,I,1
3000,D,1
3004,I,1
3006,D,1
3010,I,1
3012,D,1
3016,I,1
3018,D,1
3020,I,2
3023,D,1
3025,I,1
3027,D,1
3029,I,1
3031,D,1
3033,I,1
3035,D,1
3038,D,1
3040,I,1
3042,D,1
3044,I,1
3046,D,1
3048,I,1
3050,D,1
3054,I,1
3056,U,54
3084,I,1
3086,D,1
3088,I,1
3090,D,1
3092,I,1
3094,D,1
3096,I,1
3098,D,1
3102,I,1
3104,D,1
3106,I,1
3108,D,1
3110,I,1
3112,D,1
3114,I,2
3117,D,1
3121,D,1
3125,I,1
3127,U,36
3143,I,1
3145,D,1
3147,I,1
3149,D,1
3151,I,1
3153,D,1
3158,I,1
3163,I,2
3166,D,1
3168,I,1
3170,D,1
3172,I,1
3174,D,1
3177,D,1
3179,W,8
3188,I,1
3190,D,1
3194,I,1
3196,D,1
3198,W,8
3207,I,2
3210,D,1
3215,I,1
3217,D,1
3219,I,1
3221,D,1
3223,D,1
3228,I,2
3231,D,1
3233,I,2
3235,W,6
3242,I,1
3244,D,1
3248,D,1
3250,I,1
3252,D,1
3254,I,1
3256,D,1
3260,I,1
3262,D,1
3264,I,1
3266,D,1
3270,I,1
3272,D,1
3274,I,1
3276,D,1
3278,I,1
3280,D,1
3284,I,1
3286,D,1
3288,I,1
3290,D,1
3297,I,1
3299,D,1
3301,I,2
3303,D,1
3305,I,1
3307,D,1
3312,I,1
3314,D,1
3316,I,1
3318,D,1
3320,I,1
3322,D,1
3329,W,5
3335,I,2
3337,D,1
3343,I,3
3346,W,8
3356,W,6
3363,I,2
3366,D,1
3370,I,2
3373,U,18
3380,I,1
3382,D,1
3384,I,1
3386,D,1
3391,I,1
3393,D,1
3395,I,1
3397,D,1
3402,I,1
3404,D,1
3406,I,1
3408,D,1
3412,I,1
3414,D,1
3416,I,2
3419,D,1
3425,I,1
3427,D,1
3431,I,2
3433,D,1
3435,I,1
3437,D,1
3442,I,1
3444,D,1
3446,I,1
3448,D,1
3452,I,1
3454,W,8
3463,I,2
3466,D,1
3471,I,2
3473,D,1
3475,I,1
3477,D,1
3482,W,11
3489,I,1
3491,D,1
3495,I,1
3497,D,1
3501,I,1
3503,D,1
3507,I,1
3509,D,1
3513,I,1
3515,D,1
3519,I,3
3522,W,5
3530,D,1
3536,D,1
3538,I,2
3541,D,1
3543,I,1
3545,W,6
3552,I,4
3554,D,1
3556,I,1
3558,D,1
3564,D,1
3566,I,1
3568,D,1
3570,I,1
3572,D,1
3574,I,2
3577,D,1
3582,I,1
3584,D,1
3586,I,1
3588,D,1
3590,I,5
3592,D,1
3594,I,2
3597,D,1
3601,D,1
3605,W,7
3613,I,2
3616,D,1
3620,D,1
3627,I,1
3629,D,1
3631,I,1
3633,D,1
3635,I,1
3637,D,1
3639,I,1
3641,D,1
3645,I,2
3648,D,1
3650,I,1
3652,D,1
3654,I,2
3656,D,1
3658,I,1
3660,D,1
3664,W,1
3666,I,2
3669,D,1
3671,I,1
3673,D,1
3675,I,2
3678,D,1
3682,D,1
3685,W,6
3692,I,2
3695,D,1
3697,I,2
3700,D,1
3704,W,17
3724,I,1
3726,W,1
3728,I,2
3731,W,7
3739,W,13
3743,D,1
3748,I,1
3750,D,1
3754,I,1
3756,D,1
3760,I,1
3762,D,1
3766,I,1
3768,D,1
3772,I,1
3774,D,1
3778,I,1
3780,D,1
3784,I,1
3786,D,1
3790,I,1
3792,D,1
3796,I,1
3799,W,5
3808,I,1
3810,W,1
3812,I,1
3814,D,1
3816,D,1
3818,I,1
3820,D,1
3824,I,1
3826,U,30
3845,I,2
3848,W,11
3860,I,2
3862,W,13
3869,D,1
3874,I,1
3876,D,1
3880,I,1
3882,D,1
3886,I,1
3888,D,1
3892,I,1
3894,D,1
3898,I,1
3902,I,1
3905,W,9
3917,D,1
3919,I,2
3921,D,1
3923,I,1
3925,D,1
3930,I,1
3932,D,1
3934,I,1
3936,D,1
3938,I,3
3941,D,1
3945,D,1
3950,I,1
3952,D,1
3954,I,2
3956,D,1
3958,I,1
3960,D,1
3965,I,2
3968,W,6
3976,D,1
3978,I,1
3980,D,1
3982,I,3
3985,D,1
3989,D,1
3994,I,2
3997,W,6
4007,I,1
4009,W,8
4015,I,1
4017,D,1
