cid,class,year,metamer_rank,number_ramif,ramif_class
3,U,94,0,0,B
3,U,94,1,0,B
3,U,94,2,0,B
3,U,94,3,0,B
3,U,94,4,0,B
3,U,94,5,0,B
3,U,94,6,0,B
3,U,94,7,0,B
3,U,94,8,0,B
3,U,94,9,0,B
3,U,94,10,0,B
3,U,94,11,0,B
3,U,94,12,0,B
3,U,94,13,0,B
3,U,94,14,0,B
3,U,94,15,0,B
3,U,94,16,0,B
3,U,94,17,0,B
3,U,94,18,0,B
3,U,94,19,0,B
3,U,94,20,0,B
3,U,94,21,0,B
3,U,94,22,0,B
3,U,94,23,0,B
3,U,94,24,1,D
30,I,95,0,1,D
32,D,95,0,0,B
34,D,96,0,0,B
36,I,97,0,1,D
38,D,97,0,0,B
40,I,98,0,1,D
42,D,98,0,0,B
44,I,99,0,1,D
47,D,99,0,0,B
44,I,99,1,1,D
50,D,99,0,0,B
44,I,99,2,0,B
3,U,94,25,0,B
3,U,94,26,1,D
56,D,95,0,0,B
58,I,96,0,1,D
60,D,96,0,0,B
62,I,97,0,1,U
64,U,97,0,0,B
64,U,97,1,0,B
64,U,97,2,0,B
64,U,97,3,0,B
64,U,97,4,0,B
64,U,97,5,0,B
72,I,98,0,0,B
64,U,97,6,0,B
64,U,97,7,0,B
77,I,98,0,0,B
64,U,97,8,0,B
64,U,97,9,1,D
82,I,98,0,1,D
84,D,98,0,0,B
86,I,99,0,1,D
89,D,99,0,0,B
86,I,99,1,0,B
64,U,97,10,0,B
64,U,97,11,0,B
95,I,98,0,0,B
64,U,97,12,1,D
99,I,98,0,1,D
102,D,98,0,0,B
104,I,99,0,1,D
106,D,99,0,0,B
99,I,98,1,0,B
64,U,97,13,0,B
64,U,97,14,0,B
111,W,97,0,0,B
111,W,97,1,0,B
111,W,97,2,0,B
111,W,97,3,0,B
111,W,97,4,0,B
111,W,97,5,1,D
119,D,98,0,0,B
121,I,99,0,1,D
123,D,99,0,0,B
111,W,97,6,0,B
111,W,97,7,0,B
111,W,97,8,0,B
111,W,97,9,0,B
129,I,98,0,1,D
131,D,98,0,0,B
133,I,99,0,1,D
135,D,99,0,0,B
129,I,98,1,0,B
3,U,94,27,0,B
3,U,94,28,0,B
3,U,94,29,1,D
142,I,95,0,1,D
144,D,95,0,0,B
146,I,96,0,1,D
148,D,96,0,0,B
150,I,97,0,1,W
152,W,97,0,0,B
152,W,97,1,0,B
152,W,97,2,0,B
152,W,97,3,0,B
152,W,97,4,0,B
152,W,97,5,0,B
152,W,97,6,0,B
152,W,97,7,0,B
161,I,98,0,1,W
163,W,98,0,0,B
163,W,98,1,0,B
163,W,98,2,0,B
163,W,98,3,0,B
169,I,99,0,0,B
163,W,98,4,0,B
173,I,99,0,0,B
163,W,98,5,0,B
163,W,98,6,0,B
163,W,98,7,0,B
178,I,99,0,1,D
181,D,99,0,0,B
178,I,99,1,1,D
184,D,99,0,0,B
178,I,99,2,0,B
3,U,94,30,1,D
189,I,95,0,1,D
191,D,95,0,0,B
193,I,96,0,1,D
195,D,96,0,0,B
197,I,97,0,1,D
199,D,97,0,0,B
201,I,98,0,1,D
203,D,98,0,0,B
205,I,99,0,1,D
208,D,99,0,0,B
205,I,99,1,1,D
211,D,99,0,0,B
3,U,94,31,0,B
3,U,94,32,1,D
216,I,95,0,1,D
218,D,95,0,0,B
220,I,96,0,1,U
222,U,96,0,0,B
222,U,96,1,0,B
222,U,96,2,0,B
222,U,96,3,0,B
222,U,96,4,0,B
222,U,96,5,0,B
222,U,96,6,0,B
222,U,96,7,0,B
222,U,96,8,0,B
222,U,96,9,0,B
222,U,96,10,0,B
222,U,96,11,0,B
222,U,96,12,0,B
237,I,97,0,0,B
222,U,96,13,0,B
222,U,96,14,1,D
242,I,97,0,1,D
244,D,97,0,0,B
246,I,99,0,1,D
249,D,99,0,0,B
246,I,99,1,1,D
253,D,99,0,0,B
222,U,96,15,1,D
257,I,97,0,1,D
259,D,97,0,0,B
261,I,98,0,1,D
263,D,98,0,0,B
265,D,99,0,0,B
222,U,96,16,1,D
269,I,97,0,1,D
271,D,97,0,0,B
273,I,98,0,1,D
275,I,99,0,1,D
277,D,99,0,0,B
273,I,98,1,0,B
222,U,96,17,1,D
282,I,97,0,1,D
284,D,97,0,0,B
286,I,98,0,1,D
289,D,98,0,0,B
286,I,98,1,0,B
222,U,96,18,1,D
294,I,97,0,1,D
296,D,97,0,0,B
298,I,99,0,1,D
300,D,99,0,0,B
222,U,96,19,1,W
304,I,97,0,1,W
306,W,97,0,0,B
306,W,97,1,0,B
306,W,97,2,0,B
306,W,97,3,0,B
306,W,97,4,0,B
306,W,97,5,0,B
313,I,98,0,1,D
315,D,98,0,0,B
317,I,99,0,1,D
320,D,99,0,0,B
317,I,99,1,0,B
222,U,96,20,1,D
325,I,97,0,1,D
327,D,97,0,0,B
329,I,98,0,1,D
331,D,98,0,0,B
333,I,99,0,1,D
335,D,99,0,0,B
222,U,96,21,1,D
339,I,97,0,1,D
341,D,97,0,0,B
343,I,98,0,1,D
345,D,98,0,0,B
222,U,96,22,2,D
349,I,97,0,1,D
352,D,97,0,0,B
354,I,98,0,1,D
356,D,98,0,0,B
358,I,99,0,1,D
360,D,99,0,0,B
349,I,97,1,1,D
363,D,97,0,0,B
365,U,98,0,0,B
365,U,98,1,0,B
365,U,98,2,0,B
365,U,98,3,0,B
365,U,98,4,0,B
